membrane_orthogroup	soluble_orthogroup	tmd_index	modal_tmd_count	membrane_target_relative_position	soluble_alignment_column	soluble_median_relative_position	absolute_relative_difference	species_total
orthogroup_1031	orthogroup_1555	4	4	0.92307692	122	0.92366412	0.00058720	9
orthogroup_1038	orthogroup_172	1	5	0.05160142	30	0.05141844	0.00018298	9
orthogroup_1038	orthogroup_172	2	5	0.12099644	69	0.12056738	0.00042907	9
orthogroup_1038	orthogroup_172	3	5	0.15836299	90	0.15780142	0.00056157	9
orthogroup_1038	orthogroup_172	4	5	0.24911032	141	0.24822695	0.00088337	9
orthogroup_1038	orthogroup_172	5	5	0.30960854	176	0.31028369	0.00067515	9
orthogroup_104	orthogroup_368	1	10	0.06510417	26	0.06561680	0.00051263	8
orthogroup_104	orthogroup_368	2	10	0.16666667	64	0.16535433	0.00131234	8
orthogroup_104	orthogroup_368	3	10	0.23177083	89	0.23097113	0.00079970	8
orthogroup_104	orthogroup_368	4	10	0.32812500	126	0.32808399	0.00004101	8
orthogroup_104	orthogroup_368	5	10	0.39635009	152	0.39632546	0.00002463	8
orthogroup_104	orthogroup_368	6	10	0.52343750	200	0.52230971	0.00112779	8
orthogroup_104	orthogroup_368	7	10	0.61718750	236	0.61679790	0.00038960	8
orthogroup_104	orthogroup_368	8	10	0.70404292	269	0.70341207	0.00063084	8
orthogroup_104	orthogroup_368	9	10	0.86197917	329	0.86089239	0.00108678	8
orthogroup_104	orthogroup_368	10	10	0.97526042	373	0.97637795	0.00111754	8
orthogroup_1040	orthogroup_1314	1	10	0.03804348	33	0.03825137	0.00020789	8
orthogroup_1040	orthogroup_1314	2	10	0.08333333	58	0.08378871	0.00045537	8
orthogroup_1040	orthogroup_1314	3	10	0.14855072	94	0.14936248	0.00081175	8
orthogroup_1040	orthogroup_1314	4	10	0.20652174	125	0.20582878	0.00069296	8
orthogroup_1040	orthogroup_1314	5	10	0.32065217	188	0.32058288	0.00006930	8
orthogroup_1040	orthogroup_1314	6	10	0.70108696	397	0.70127505	0.00018809	8
orthogroup_1040	orthogroup_1314	7	10	0.75181159	425	0.75227687	0.00046527	8
orthogroup_1040	orthogroup_1314	8	10	0.80978261	457	0.81056466	0.00078205	8
orthogroup_1040	orthogroup_1314	9	10	0.87840290	494	0.87795993	0.00044298	8
orthogroup_1040	orthogroup_1314	10	10	0.98550725	553	0.98542805	0.00007920	8
orthogroup_1042	orthogroup_1459	1	10	0.05704698	18	0.05666667	0.00038031	9
orthogroup_1042	orthogroup_1459	2	10	0.15436242	47	0.15333333	0.00102908	9
orthogroup_1042	orthogroup_1459	3	10	0.25167785	77	0.25333333	0.00165548	9
orthogroup_1042	orthogroup_1459	4	10	0.33557047	102	0.33666667	0.00109620	9
orthogroup_1042	orthogroup_1459	5	10	0.42617450	129	0.42617450	0.00000000	9
orthogroup_1042	orthogroup_1459	6	10	0.52348993	158	0.52333333	0.00015660	9
orthogroup_1042	orthogroup_1459	7	10	0.63758389	198	0.63666667	0.00091723	9
orthogroup_1042	orthogroup_1459	8	10	0.74832215	231	0.74747475	0.00084740	9
orthogroup_1042	orthogroup_1459	9	10	0.84563758	261	0.84511785	0.00051974	9
orthogroup_1042	orthogroup_1459	10	10	0.92281879	284	0.92255892	0.00025987	9
orthogroup_1047	orthogroup_462	1	3	0.20000000	60	0.20000000	0.00000000	9
orthogroup_1047	orthogroup_462	2	3	0.30175439	89	0.30175439	0.00000000	9
orthogroup_1047	orthogroup_462	3	3	0.37543860	110	0.37543860	0.00000000	9
orthogroup_105	orthogroup_468	1	8	0.11016949	53	0.11040340	0.00023391	9
orthogroup_105	orthogroup_468	2	8	0.20000000	95	0.19957537	0.00042463	9
orthogroup_105	orthogroup_468	3	8	0.48940678	232	0.49044586	0.00103908	9
orthogroup_105	orthogroup_468	4	8	0.57415254	271	0.57324841	0.00090413	9
orthogroup_105	orthogroup_468	5	8	0.65042373	309	0.64968153	0.00074220	9
orthogroup_105	orthogroup_468	6	8	0.73940678	361	0.73885350	0.00055328	9
orthogroup_105	orthogroup_468	7	8	0.79449153	391	0.80254777	0.00805625	9
orthogroup_105	orthogroup_468	8	8	0.93008475	452	0.92993631	0.00014844	9
orthogroup_1050	orthogroup_1	1	6	0.04021938	23	0.04000000	0.00021938	9
orthogroup_1050	orthogroup_1	2	6	0.69287020	385	0.69272727	0.00014293	9
orthogroup_1050	orthogroup_1	3	6	0.79890311	444	0.79818182	0.00072129	9
orthogroup_1050	orthogroup_1	4	6	0.87385740	486	0.87454545	0.00068805	9
orthogroup_1050	orthogroup_1	5	6	0.92870201	516	0.92909091	0.00038890	9
orthogroup_1050	orthogroup_1	6	6	0.96343693	535	0.96363636	0.00019943	9
orthogroup_1059	orthogroup_1298	1	12	0.08229426	36	0.08173077	0.00056350	8
orthogroup_1059	orthogroup_1298	2	12	0.16209476	69	0.16105769	0.00103707	8
orthogroup_1059	orthogroup_1298	3	12	0.23441397	100	0.23557692	0.00116296	8
orthogroup_1059	orthogroup_1298	4	12	0.29213529	124	0.29326923	0.00113394	8
orthogroup_1059	orthogroup_1298	5	12	0.39401496	166	0.39423077	0.00021581	8
orthogroup_1059	orthogroup_1298	6	12	0.45885287	193	0.45913462	0.00028175	8
orthogroup_1059	orthogroup_1298	7	12	0.57356608	241	0.57451923	0.00095315	8
orthogroup_1059	orthogroup_1298	8	12	0.65336658	274	0.65384615	0.00047957	8
orthogroup_1059	orthogroup_1298	9	12	0.73067332	306	0.73076923	0.00009591	8
orthogroup_1059	orthogroup_1298	10	12	0.78304239	328	0.78365385	0.00061145	8
orthogroup_1059	orthogroup_1298	11	12	0.88778055	371	0.88701923	0.00076132	8
orthogroup_1059	orthogroup_1298	12	12	0.96379364	403	0.96394231	0.00014867	8
orthogroup_1074	orthogroup_1656	1	8	0.08778626	35	0.08778626	0.00000000	9
orthogroup_1074	orthogroup_1656	2	8	0.19847328	64	0.19847328	0.00000000	9
orthogroup_1074	orthogroup_1656	3	8	0.32061069	96	0.32061069	0.00000000	9
orthogroup_1074	orthogroup_1656	4	8	0.41603053	127	0.41603053	0.00000000	9
orthogroup_1074	orthogroup_1656	5	8	0.55343511	163	0.55343511	0.00000000	9
orthogroup_1074	orthogroup_1656	6	8	0.74427481	213	0.74427481	0.00000000	9
orthogroup_1074	orthogroup_1656	7	8	0.85496183	242	0.85496183	0.00000000	9
orthogroup_1074	orthogroup_1656	8	8	0.96183206	270	0.96183206	0.00000000	9
orthogroup_110	orthogroup_173	1	3	0.33333333	39	0.33333333	0.00000000	9
orthogroup_110	orthogroup_173	2	3	0.69298246	80	0.69298246	0.00000000	9
orthogroup_110	orthogroup_173	3	3	0.98245614	111	0.96491228	0.01754386	9
orthogroup_1107	orthogroup_933	1	4	0.23664122	39	0.23484848	0.00179274	9
orthogroup_1107	orthogroup_933	2	4	0.41221374	62	0.40909091	0.00312283	9
orthogroup_1107	orthogroup_933	3	4	0.60305344	88	0.60606061	0.00300717	9
orthogroup_1107	orthogroup_933	4	4	0.86259542	122	0.86363636	0.00104094	9
orthogroup_1110	orthogroup_1016	1	5	0.18987342	47	0.19087466	0.00100124	8
orthogroup_1110	orthogroup_1016	2	5	0.32489451	79	0.32365702	0.00123749	8
orthogroup_1110	orthogroup_1016	3	5	0.50632911	123	0.50623278	0.00009633	8
orthogroup_1110	orthogroup_1016	4	5	0.75105485	188	0.75160407	0.00054922	8
orthogroup_1110	orthogroup_1016	5	5	0.92827004	231	0.92839696	0.00012692	8
orthogroup_1124	orthogroup_1209	1	4	0.11809045	53	0.11838791	0.00029746	9
orthogroup_1124	orthogroup_1209	2	4	0.72361809	293	0.72292191	0.00069618	9
orthogroup_1124	orthogroup_1209	3	4	0.84422111	341	0.84382872	0.00039239	9
orthogroup_1124	orthogroup_1209	4	4	0.95979899	387	0.95969773	0.00010126	9
orthogroup_1141	orthogroup_635	1	9	0.07671958	35	0.07702537	0.00030579	10
orthogroup_1141	orthogroup_635	2	9	0.19047619	82	0.19123540	0.00075921	10
orthogroup_1141	orthogroup_635	3	9	0.25925926	126	0.25827684	0.00098241	10
orthogroup_1141	orthogroup_635	4	9	0.37037037	171	0.36953532	0.00083505	10
orthogroup_1141	orthogroup_635	5	9	0.48677249	215	0.48609181	0.00068067	10
orthogroup_1141	orthogroup_635	6	9	0.58730159	253	0.58675424	0.00054735	10
orthogroup_1141	orthogroup_635	7	9	0.74338624	312	0.74304591	0.00034034	10
orthogroup_1141	orthogroup_635	8	9	0.82275132	342	0.82251624	0.00023508	10
orthogroup_1141	orthogroup_635	9	9	0.94973545	390	0.94966879	0.00006666	10
orthogroup_1154	orthogroup_263	1	10	0.09455587	34	0.09401709	0.00053878	9
orthogroup_1154	orthogroup_263	2	10	0.16905444	60	0.16809117	0.00096327	9
orthogroup_1154	orthogroup_263	3	10	0.25214900	90	0.25356125	0.00141226	9
orthogroup_1154	orthogroup_263	4	10	0.31623932	112	0.31623932	0.00000000	9
orthogroup_1154	orthogroup_263	5	10	0.38681948	137	0.38746439	0.00064490	9
orthogroup_1154	orthogroup_263	6	10	0.67048711	236	0.66951567	0.00097144	9
orthogroup_1154	orthogroup_263	7	10	0.73829201	260	0.73789174	0.00040027	9
orthogroup_1154	orthogroup_263	8	10	0.81542700	287	0.81481481	0.00061218	9
orthogroup_1154	orthogroup_263	9	10	0.90028490	317	0.90028490	0.00000000	9
orthogroup_1154	orthogroup_263	10	10	0.96011396	338	0.96011396	0.00000000	9
orthogroup_1158	orthogroup_1518	1	5	0.07179487	68	0.07179487	0.00000000	9
orthogroup_1158	orthogroup_1518	2	5	0.13504274	105	0.13504274	0.00000000	9
orthogroup_1158	orthogroup_1518	3	5	0.17435897	128	0.17435897	0.00000000	9
orthogroup_1158	orthogroup_1518	4	5	0.26666667	182	0.26666667	0.00000000	9
orthogroup_1158	orthogroup_1518	5	5	0.32478632	216	0.32478632	0.00000000	9
orthogroup_1177	orthogroup_254	1	6	0.12787083	46	0.12820513	0.00033430	10
orthogroup_1177	orthogroup_254	2	6	0.21474359	73	0.21474359	0.00000000	10
orthogroup_1177	orthogroup_254	3	6	0.34880089	115	0.34935897	0.00055808	10
orthogroup_1177	orthogroup_254	4	6	0.45192308	147	0.45192308	0.00000000	10
orthogroup_1177	orthogroup_254	5	6	0.57051282	184	0.57051282	0.00000000	10
orthogroup_1177	orthogroup_254	6	6	0.64423077	207	0.64423077	0.00000000	10
orthogroup_1181	orthogroup_814	1	6	0.07573150	53	0.07586207	0.00013057	10
orthogroup_1181	orthogroup_814	2	6	0.15490534	99	0.15517241	0.00026708	10
orthogroup_1181	orthogroup_814	3	6	0.27710843	171	0.27758621	0.00047777	10
orthogroup_1181	orthogroup_814	4	6	0.31841652	195	0.31896552	0.00054899	10
orthogroup_1181	orthogroup_814	5	6	0.46299484	282	0.46379310	0.00079827	10
orthogroup_1181	orthogroup_814	6	6	0.52839931	326	0.52758621	0.00081310	10
orthogroup_119	orthogroup_251	1	3	0.13245033	22	0.13461538	0.00216505	8
orthogroup_119	orthogroup_251	2	3	0.40264465	64	0.40384615	0.00120150	8
orthogroup_119	orthogroup_251	3	3	0.54966887	87	0.55128205	0.00161318	8
orthogroup_1208	orthogroup_1534	1	5	0.02961918	22	0.02953586	0.00008332	9
orthogroup_1208	orthogroup_1534	2	5	0.31170663	223	0.31223629	0.00052966	9
orthogroup_1208	orthogroup_1534	3	5	0.34555712	247	0.34599156	0.00043444	9
orthogroup_1208	orthogroup_1534	4	5	0.50352609	359	0.50351617	0.00000992	9
orthogroup_1208	orthogroup_1534	5	5	0.95338983	680	0.95358650	0.00019667	9
orthogroup_1225	orthogroup_1607	1	3	0.17218543	27	0.17333333	0.00114790	9
orthogroup_1225	orthogroup_1607	2	3	0.31788079	49	0.32000000	0.00211921	9
orthogroup_1225	orthogroup_1607	3	3	0.49006623	75	0.49333333	0.00326711	9
orthogroup_1267	orthogroup_1232	1	10	0.09485095	37	0.09510870	0.00025775	9
orthogroup_1267	orthogroup_1232	2	10	0.17615176	67	0.17663043	0.00047867	9
orthogroup_1267	orthogroup_1232	3	10	0.24661247	93	0.24728261	0.00067014	9
orthogroup_1267	orthogroup_1232	4	10	0.34417344	129	0.34510870	0.00093525	9
orthogroup_1267	orthogroup_1232	5	10	0.42005420	157	0.42119565	0.00114145	9
orthogroup_1267	orthogroup_1232	6	10	0.47425474	177	0.47554348	0.00128874	9
orthogroup_1267	orthogroup_1232	7	10	0.54200542	201	0.54076087	0.00124455	9
orthogroup_1267	orthogroup_1232	8	10	0.79403794	304	0.79347826	0.00055968	9
orthogroup_1267	orthogroup_1232	9	10	0.88888889	339	0.88858696	0.00030193	9
orthogroup_1267	orthogroup_1232	10	10	0.95663957	364	0.95652174	0.00011783	9
orthogroup_1270	orthogroup_1068	1	7	0.18025751	44	0.18025751	0.00000000	9
orthogroup_1270	orthogroup_1068	2	7	0.32618026	78	0.32618026	0.00000000	9
orthogroup_1270	orthogroup_1068	3	7	0.45064378	107	0.45064378	0.00000000	9
orthogroup_1270	orthogroup_1068	4	7	0.56223176	133	0.56223176	0.00000000	9
orthogroup_1270	orthogroup_1068	5	7	0.68669528	162	0.68669528	0.00000000	9
orthogroup_1270	orthogroup_1068	6	7	0.79399142	187	0.79399142	0.00000000	9
orthogroup_1270	orthogroup_1068	7	7	0.98283262	231	0.98283262	0.00000000	9
orthogroup_1271	orthogroup_143	1	14	0.03346457	21	0.03320312	0.00026144	10
orthogroup_1271	orthogroup_143	2	14	0.09055118	50	0.08984375	0.00070743	10
orthogroup_1271	orthogroup_143	3	14	0.20669291	110	0.20703125	0.00033834	10
orthogroup_1271	orthogroup_143	4	14	0.25984252	137	0.25976562	0.00007689	10
orthogroup_1271	orthogroup_143	5	14	0.30511811	160	0.30468750	0.00043061	10
orthogroup_1271	orthogroup_143	6	14	0.37992126	207	0.38085938	0.00093812	10
orthogroup_1271	orthogroup_143	7	14	0.47047244	253	0.47070312	0.00023068	10
orthogroup_1271	orthogroup_143	8	14	0.53346457	285	0.53320312	0.00026144	10
orthogroup_1271	orthogroup_143	9	14	0.60236220	319	0.59960938	0.00275283	10
orthogroup_1271	orthogroup_143	10	14	0.65157480	346	0.65234375	0.00076895	10
orthogroup_1271	orthogroup_143	11	14	0.70669291	374	0.70703125	0.00033834	10
orthogroup_1271	orthogroup_143	12	14	0.78163987	412	0.78125000	0.00038987	10
orthogroup_1271	orthogroup_143	13	14	0.86417323	454	0.86328125	0.00089198	10
orthogroup_1271	orthogroup_143	14	14	0.94291339	495	0.94335938	0.00044599	10
orthogroup_1294	orthogroup_73	1	4	0.06462585	23	0.06315789	0.00146796	8
orthogroup_1294	orthogroup_73	2	4	0.15986395	51	0.16140351	0.00153956	8
orthogroup_1294	orthogroup_73	3	4	0.63605442	188	0.63637142	0.00031699	8
orthogroup_1294	orthogroup_73	4	4	0.74489796	219	0.74476435	0.00013361	8
orthogroup_1309	orthogroup_78	1	12	0.11604938	47	0.11586902	0.00018037	8
orthogroup_1309	orthogroup_78	2	12	0.19753086	79	0.19647355	0.00105731	8
orthogroup_1309	orthogroup_78	3	12	0.26913580	108	0.26952141	0.00038561	8
orthogroup_1309	orthogroup_78	4	12	0.32345679	129	0.32241814	0.00103865	8
orthogroup_1309	orthogroup_78	5	12	0.42222222	169	0.42317380	0.00095158	8
orthogroup_1309	orthogroup_78	6	12	0.48395062	193	0.48362720	0.00032341	8
orthogroup_1309	orthogroup_78	7	12	0.61975309	247	0.61964736	0.00010573	8
orthogroup_1309	orthogroup_78	8	12	0.69629630	277	0.69521411	0.00108219	8
orthogroup_1309	orthogroup_78	9	12	0.77037037	308	0.77078086	0.00041049	8
orthogroup_1309	orthogroup_78	10	12	0.83209877	332	0.83123426	0.00086451	8
orthogroup_1309	orthogroup_78	11	12	0.91851852	367	0.91939547	0.00087695	8
orthogroup_1309	orthogroup_78	12	12	0.98271605	392	0.98236776	0.00034829	8
orthogroup_1311	orthogroup_873	1	3	0.15720524	37	0.15720524	0.00000000	9
orthogroup_1311	orthogroup_873	2	3	0.64192140	152	0.64069264	0.00122876	9
orthogroup_1311	orthogroup_873	3	3	0.83406114	211	0.83406114	0.00000000	9
orthogroup_1313	orthogroup_1089	1	5	0.22885572	47	0.23000000	0.00114428	9
orthogroup_1313	orthogroup_1089	2	5	0.39500000	80	0.39500000	0.00000000	9
orthogroup_1313	orthogroup_1089	3	5	0.60000000	121	0.60000000	0.00000000	9
orthogroup_1313	orthogroup_1089	4	5	0.72000000	145	0.72000000	0.00000000	9
orthogroup_1313	orthogroup_1089	5	5	0.85000000	171	0.85000000	0.00000000	9
orthogroup_1328	orthogroup_811	1	6	0.16610169	51	0.16554054	0.00056115	10
orthogroup_1328	orthogroup_811	2	6	0.34915254	106	0.34797297	0.00117957	10
orthogroup_1328	orthogroup_811	3	6	0.48474576	146	0.48310811	0.00163765	10
orthogroup_1328	orthogroup_811	4	6	0.56949153	172	0.57094595	0.00145442	10
orthogroup_1328	orthogroup_811	5	6	0.77627119	233	0.77702703	0.00075584	10
orthogroup_1328	orthogroup_811	6	6	0.96610169	291	0.96621622	0.00011452	10
orthogroup_1335	orthogroup_187	1	11	0.44354110	502	0.44335415	0.00018695	9
orthogroup_1335	orthogroup_187	2	11	0.49005425	554	0.48974130	0.00031295	9
orthogroup_1335	orthogroup_187	3	11	0.51989150	588	0.52007136	0.00017986	9
orthogroup_1335	orthogroup_187	4	11	0.55696203	629	0.55664585	0.00031617	9
orthogroup_1335	orthogroup_187	5	11	0.58446251	660	0.58429973	0.00016278	9
orthogroup_1335	orthogroup_187	6	11	0.62115732	701	0.62087422	0.00028310	9
orthogroup_1335	orthogroup_187	7	11	0.64711191	730	0.64674398	0.00036793	9
orthogroup_1335	orthogroup_187	8	11	0.72267389	816	0.72256913	0.00010476	9
orthogroup_1335	orthogroup_187	9	11	0.77145438	871	0.77163247	0.00017809	9
orthogroup_1335	orthogroup_187	10	11	0.80650995	910	0.80642284	0.00008711	9
orthogroup_1335	orthogroup_187	11	11	0.83363472	941	0.83407672	0.00044200	9
orthogroup_136	orthogroup_357	1	5	0.27027027	72	0.27027027	0.00000000	9
orthogroup_136	orthogroup_357	2	5	0.41698842	110	0.41698842	0.00000000	9
orthogroup_136	orthogroup_357	3	5	0.64478764	169	0.64478764	0.00000000	9
orthogroup_136	orthogroup_357	4	5	0.84169884	220	0.84169884	0.00000000	9
orthogroup_136	orthogroup_357	5	5	0.99613900	258	0.98841699	0.00772201	9
orthogroup_1362	orthogroup_532	1	6	0.09565217	23	0.09565217	0.00000000	9
orthogroup_1362	orthogroup_532	2	6	0.20434783	48	0.20434783	0.00000000	9
orthogroup_1362	orthogroup_532	3	6	0.33478261	78	0.33478261	0.00000000	9
orthogroup_1362	orthogroup_532	4	6	0.48695652	115	0.48695652	0.00000000	9
orthogroup_1362	orthogroup_532	5	6	0.71739130	168	0.71739130	0.00000000	9
orthogroup_1362	orthogroup_532	6	6	0.96086957	224	0.96086957	0.00000000	9
orthogroup_1363	orthogroup_1075	1	6	0.08620690	21	0.08474576	0.00146113	9
orthogroup_1363	orthogroup_1075	2	6	0.32773109	78	0.32627119	0.00145991	9
orthogroup_1363	orthogroup_1075	3	6	0.47478992	113	0.47457627	0.00021364	9
orthogroup_1363	orthogroup_1075	4	6	0.68487395	163	0.68644068	0.00156673	9
orthogroup_1363	orthogroup_1075	5	6	0.78151261	185	0.77966102	0.00185159	9
orthogroup_1363	orthogroup_1075	6	6	0.89495798	212	0.89406780	0.00089019	9
orthogroup_1365	orthogroup_1028	1	14	0.05578512	58	0.05515838	0.00062674	10
orthogroup_1365	orthogroup_1028	2	14	0.11157025	86	0.11235967	0.00078942	10
orthogroup_1365	orthogroup_1028	3	14	0.18595041	122	0.18590418	0.00004624	10
orthogroup_1365	orthogroup_1028	4	14	0.25619835	156	0.25536288	0.00083547	10
orthogroup_1365	orthogroup_1028	5	14	0.30165289	179	0.30234965	0.00069676	10
orthogroup_1365	orthogroup_1028	6	14	0.36776860	215	0.36809816	0.00032956	10
orthogroup_1365	orthogroup_1028	7	14	0.45867769	262	0.45863069	0.00004699	10
orthogroup_1365	orthogroup_1028	8	14	0.52479339	294	0.52400359	0.00078980	10
orthogroup_1365	orthogroup_1028	9	14	0.59917355	331	0.59959100	0.00041745	10
orthogroup_1365	orthogroup_1028	10	14	0.65289256	357	0.65270648	0.00018608	10
orthogroup_1365	orthogroup_1028	11	14	0.71280992	386	0.71181199	0.00099792	10
orthogroup_1365	orthogroup_1028	12	14	0.80991736	434	0.80981595	0.00010140	10
orthogroup_1365	orthogroup_1028	13	14	0.88636364	471	0.88548057	0.00088306	10
orthogroup_1365	orthogroup_1028	14	14	0.97933884	505	0.95501022	0.02432862	10
orthogroup_1379	orthogroup_180	1	10	0.08597285	46	0.08558559	0.00038727	10
orthogroup_1379	orthogroup_180	2	10	0.21266968	105	0.21171171	0.00095797	10
orthogroup_1379	orthogroup_180	3	10	0.29411765	142	0.29504505	0.00092740	10
orthogroup_1379	orthogroup_180	4	10	0.40045249	189	0.40090090	0.00044841	10
orthogroup_1379	orthogroup_180	5	10	0.44796380	210	0.44819820	0.00023440	10
orthogroup_1379	orthogroup_180	6	10	0.52941176	246	0.52927928	0.00013249	10
orthogroup_1379	orthogroup_180	7	10	0.64705882	300	0.64639640	0.00066243	10
orthogroup_1379	orthogroup_180	8	10	0.74208145	342	0.74099099	0.00109046	10
orthogroup_1379	orthogroup_180	9	10	0.88914027	408	0.88963964	0.00049937	10
orthogroup_1379	orthogroup_180	10	10	0.93438914	428	0.93468468	0.00029554	10
orthogroup_1380	orthogroup_313	1	12	0.07653061	31	0.07614262	0.00038799	8
orthogroup_1380	orthogroup_313	2	12	0.16581633	66	0.16497568	0.00084064	8
orthogroup_1380	orthogroup_313	3	12	0.23214286	92	0.23096595	0.00117690	8
orthogroup_1380	orthogroup_313	4	12	0.29846939	119	0.29949432	0.00102493	8
orthogroup_1380	orthogroup_313	5	12	0.39490510	157	0.39594164	0.00103654	8
orthogroup_1380	orthogroup_313	6	12	0.46173469	183	0.46193191	0.00019722	8
orthogroup_1380	orthogroup_313	7	12	0.57908163	229	0.57868393	0.00039770	8
orthogroup_1380	orthogroup_313	8	12	0.67346939	266	0.67259317	0.00087622	8
orthogroup_1380	orthogroup_313	9	12	0.73375894	290	0.73350726	0.00025168	8
orthogroup_1380	orthogroup_313	10	12	0.80177859	317	0.80203562	0.00025704	8
orthogroup_1380	orthogroup_313	11	12	0.88378177	349	0.88325442	0.00052735	8
orthogroup_1380	orthogroup_313	12	12	0.96815727	382	0.96701131	0.00114596	8
orthogroup_1384	orthogroup_84	1	6	0.13207547	47	0.13207547	0.00000000	10
orthogroup_1384	orthogroup_84	2	6	0.29874214	100	0.29874214	0.00000000	10
orthogroup_1384	orthogroup_84	3	6	0.42072317	139	0.42138365	0.00066048	10
orthogroup_1384	orthogroup_84	4	6	0.58805031	192	0.58805031	0.00000000	10
orthogroup_1384	orthogroup_84	5	6	0.77125330	250	0.77044025	0.00081304	10
orthogroup_1384	orthogroup_84	6	6	0.95283019	308	0.95283019	0.00000000	10
orthogroup_139	orthogroup_805	1	8	0.38780804	296	0.38815789	0.00034985	9
orthogroup_139	orthogroup_805	2	8	0.47470817	362	0.47500000	0.00029183	9
orthogroup_139	orthogroup_805	3	8	0.57457847	438	0.57500000	0.00042153	9
orthogroup_139	orthogroup_805	4	8	0.61089494	465	0.61052632	0.00036863	9
orthogroup_139	orthogroup_805	5	8	0.68741894	523	0.68684211	0.00057683	9
orthogroup_139	orthogroup_805	6	8	0.88326848	672	0.88289474	0.00037375	9
orthogroup_139	orthogroup_805	7	8	0.92607004	705	0.92631579	0.00024575	9
orthogroup_139	orthogroup_805	8	8	0.95984456	730	0.95921053	0.00063403	9
orthogroup_14	orthogroup_349	1	4	0.18647906	37	0.18848168	0.00200261	8
orthogroup_14	orthogroup_349	2	4	0.36363636	70	0.36125654	0.00237982	8
orthogroup_14	orthogroup_349	3	4	0.59358289	115	0.59162304	0.00195985	8
orthogroup_14	orthogroup_349	4	4	0.87165775	168	0.86910995	0.00254781	8
orthogroup_140	orthogroup_1600	1	6	0.12585034	45	0.12714777	0.00129743	10
orthogroup_140	orthogroup_1600	2	6	0.32653061	116	0.32646048	0.00007013	10
orthogroup_140	orthogroup_1600	3	6	0.43877551	149	0.43986254	0.00108703	10
orthogroup_140	orthogroup_1600	4	6	0.60544218	197	0.60481100	0.00063118	10
orthogroup_140	orthogroup_1600	5	6	0.79251701	252	0.79381443	0.00129743	10
orthogroup_140	orthogroup_1600	6	6	0.97619048	305	0.97594502	0.00024546	10
orthogroup_1406	orthogroup_1079	1	6	0.07167832	42	0.07130435	0.00037397	9
orthogroup_1406	orthogroup_1079	2	6	0.11713287	68	0.11652174	0.00061113	9
