membrane_orthogroup	species_coverage	membrane_median_length	candidate_rank	candidate_orthogroup	candidate_median_length	absolute_length_difference	relative_length_difference
orthogroup_1445	9	276.0	2	orthogroup_1247	275.0	1.0	0.003623
orthogroup_145	8	290.0	1	orthogroup_564	288.0	2.0	0.006897
orthogroup_1457	10	414.0	1	orthogroup_267	413.0	1.0	0.002415
orthogroup_1462	9	325.0	1	orthogroup_897	325.0	0.0	0.0
orthogroup_147	8	514.0	1	orthogroup_1125	510.0	4.0	0.007782
orthogroup_1477	8	119.0	1	orthogroup_1234	117.0	2.0	0.016807
orthogroup_1481	9	100.0	1	orthogroup_1661	100.0	0.0	0.0
orthogroup_1515	8	159.5	1	orthogroup_161	160.0	0.5	0.003135
orthogroup_1519	10	296.5	1	orthogroup_1025	297.0	0.5	0.001686
orthogroup_1524	9	129.0	1	orthogroup_701	129.0	0.0	0.0
orthogroup_1538	9	146.0	2	orthogroup_1127	147.0	1.0	0.006849
orthogroup_1554	8	204.0	2	orthogroup_1493	199.0	5.0	0.02451
orthogroup_1557	8	432.0	1	orthogroup_731	431.0	1.0	0.002315
orthogroup_156	9	285.0	1	orthogroup_1632	284.0	1.0	0.003509
orthogroup_1575	10	229.0	1	orthogroup_60	228.0	1.0	0.004367
orthogroup_1577	9	222.0	3	orthogroup_570	222.0	0.0	0.0
orthogroup_158	9	439.0	3	orthogroup_66	440.0	1.0	0.002278
orthogroup_159	8	491.0	1	orthogroup_646	477.5	13.5	0.027495
orthogroup_1596	9	231.0	2	orthogroup_937	231.0	0.0	0.0
orthogroup_1619	9	162.0	1	orthogroup_97	162.0	0.0	0.0
orthogroup_1627	9	536.0	3	orthogroup_1666	539.0	3.0	0.005597
orthogroup_1636	10	588.0	1	orthogroup_163	588.0	0.0	0.0
orthogroup_1642	9	321.0	2	orthogroup_1438	321.0	0.0	0.0
orthogroup_1644	9	293.0	1	orthogroup_1430	293.0	0.0	0.0
orthogroup_1651	10	613.0	1	orthogroup_854	613.5	0.5	0.000816
orthogroup_1663	9	483.0	1	orthogroup_951	483.0	0.0	0.0
orthogroup_1685	10	295.0	4	orthogroup_837	292.0	3.0	0.010169
orthogroup_1687	8	336.0	1	orthogroup_1139	333.0	3.0	0.008929
orthogroup_1689	10	325.0	1	orthogroup_823	325.0	0.0	0.0
orthogroup_1696	9	370.0	3	orthogroup_859	368.0	2.0	0.005405
orthogroup_1701	9	130.0	1	orthogroup_1261	130.0	0.0	0.0
orthogroup_1723	10	219.0	1	orthogroup_795	219.0	0.0	0.0
orthogroup_1733	9	1025.0	1	orthogroup_5	1047.0	22.0	0.021463
orthogroup_174	9	148.0	1	orthogroup_833	148.0	0.0	0.0
orthogroup_1742	9	450.0	1	orthogroup_1423	450.0	0.0	0.0
orthogroup_1769	9	416.0	1	orthogroup_544	416.0	0.0	0.0
orthogroup_1773	8	188.0	3	orthogroup_602	191.5	3.5	0.018617
orthogroup_178	10	397.0	1	orthogroup_1641	397.0	0.0	0.0
orthogroup_1783	8	188.5	1	orthogroup_1776	186.0	2.5	0.013263
orthogroup_1819	8	502.0	1	orthogroup_1807	504.0	2.0	0.003984
orthogroup_1826	8	454.0	2	orthogroup_1828	450.0	4.0	0.008811
orthogroup_1830	9	663.0	1	orthogroup_1825	652.0	11.0	0.016591
orthogroup_188	8	219.0	2	orthogroup_735	221.0	2.0	0.009132
orthogroup_195	8	440.0	1	orthogroup_186	446.0	6.0	0.013636
orthogroup_2	9	400.0	1	orthogroup_1558	400.0	0.0	0.0
orthogroup_203	10	549.0	1	orthogroup_1333	549.0	0.0	0.0
orthogroup_204	8	566.5	1	orthogroup_1222	568.0	1.5	0.002648
orthogroup_210	9	193.0	2	orthogroup_1591	193.0	0.0	0.0
orthogroup_22	8	304.0	1	orthogroup_269	301.0	3.0	0.009868
orthogroup_23	8	364.0	2	orthogroup_1015	375.0	11.0	0.03022
orthogroup_231	8	176.0	1	orthogroup_1606	177.0	1.0	0.005682
orthogroup_233	9	379.0	1	orthogroup_1422	379.0	0.0	0.0
orthogroup_244	9	382.0	1	orthogroup_1088	382.0	0.0	0.0
orthogroup_25	9	184.0	1	orthogroup_219	184.0	0.0	0.0
orthogroup_272	9	178.0	1	orthogroup_197	177.0	1.0	0.005618
orthogroup_277	8	471.0	1	orthogroup_401	470.0	1.0	0.002123
orthogroup_279	9	385.0	1	orthogroup_1032	386.0	1.0	0.002597
orthogroup_283	8	474.0	2	orthogroup_708	484.0	10.0	0.021097
orthogroup_284	9	354.0	2	orthogroup_369	354.0	0.0	0.0
orthogroup_300	8	331.0	3	orthogroup_1108	328.0	3.0	0.009063
orthogroup_303	9	450.0	3	orthogroup_1255	449.0	1.0	0.002222
orthogroup_322	8	275.0	1	orthogroup_1065	283.0	8.0	0.029091
orthogroup_329	9	717.0	1	orthogroup_1588	719.0	2.0	0.002789
orthogroup_33	8	107.0	5	orthogroup_777	104.0	3.0	0.028037
orthogroup_331	8	195.0	1	orthogroup_409	196.0	1.0	0.005128
orthogroup_334	9	559.0	2	orthogroup_868	541.0	18.0	0.0322
orthogroup_335	9	224.0	2	orthogroup_1533	225.0	1.0	0.004464
orthogroup_338	10	271.0	1	orthogroup_282	270.0	1.0	0.00369
orthogroup_346	9	196.0	1	orthogroup_1277	196.0	0.0	0.0
orthogroup_352	10	147.0	1	orthogroup_459	148.0	1.0	0.006803
orthogroup_354	9	412.0	1	orthogroup_1367	411.0	1.0	0.002427
orthogroup_36	8	219.0	3	orthogroup_481	224.0	5.0	0.022831
orthogroup_371	9	126.0	1	orthogroup_1507	126.0	0.0	0.0
orthogroup_378	8	469.5	3	orthogroup_599	456.5	13.0	0.027689
orthogroup_385	8	401.5	2	orthogroup_1109	396.0	5.5	0.013699
orthogroup_390	9	396.0	1	orthogroup_328	396.0	0.0	0.0
orthogroup_408	9	428.0	2	orthogroup_798	447.0	19.0	0.044393
orthogroup_415	9	289.0	1	orthogroup_120	289.0	0.0	0.0
orthogroup_419	8	206.0	2	orthogroup_1288	211.0	5.0	0.024272
orthogroup_420	8	263.0	1	orthogroup_529	255.5	7.5	0.028517
orthogroup_429	8	394.0	1	orthogroup_395	386.0	8.0	0.020305
orthogroup_454	9	615.0	1	orthogroup_149	615.0	0.0	0.0
orthogroup_46	10	258.5	1	orthogroup_1161	258.0	0.5	0.001934
orthogroup_471	9	221.0	2	orthogroup_1469	222.0	1.0	0.004525
orthogroup_480	9	360.0	1	orthogroup_1369	361.0	1.0	0.002778
orthogroup_484	9	253.0	1	orthogroup_1045	253.0	0.0	0.0
orthogroup_489	9	221.0	1	orthogroup_1296	222.0	1.0	0.004525
orthogroup_49	9	136.0	1	orthogroup_1174	136.0	0.0	0.0
orthogroup_515	9	122.0	1	orthogroup_1646	122.0	0.0	0.0
orthogroup_526	9	323.0	1	orthogroup_1026	323.0	0.0	0.0
orthogroup_531	9	511.0	2	orthogroup_690	513.0	2.0	0.003914
orthogroup_534	10	246.0	1	orthogroup_559	246.0	0.0	0.0
orthogroup_540	9	285.0	3	orthogroup_505	284.0	1.0	0.003509
orthogroup_547	10	302.0	1	orthogroup_1054	302.0	0.0	0.0
orthogroup_548	9	254.0	1	orthogroup_319	254.0	0.0	0.0
orthogroup_551	9	109.0	1	orthogroup_1138	109.0	0.0	0.0
orthogroup_554	9	427.0	3	orthogroup_182	428.0	1.0	0.002342
orthogroup_596	9	293.0	2	orthogroup_1116	294.0	1.0	0.003413
orthogroup_598	9	349.0	1	orthogroup_1371	349.0	0.0	0.0
orthogroup_6	9	109.0	2	orthogroup_1602	109.0	0.0	0.0
orthogroup_609	9	205.0	1	orthogroup_1581	205.0	0.0	0.0
orthogroup_610	9	220.0	1	orthogroup_1475	220.0	0.0	0.0
orthogroup_618	9	351.0	2	orthogroup_1269	350.0	1.0	0.002849
orthogroup_626	9	306.0	1	orthogroup_918	312.0	6.0	0.019608
orthogroup_627	9	119.0	2	orthogroup_224	119.0	0.0	0.0
orthogroup_65	9	1305.0	1	orthogroup_1258	1295.0	10.0	0.007663
orthogroup_663	9	429.0	1	orthogroup_1447	428.0	1.0	0.002331
orthogroup_684	9	489.0	4	orthogroup_1385	491.0	2.0	0.00409
orthogroup_687	9	269.0	1	orthogroup_1547	269.0	0.0	0.0
orthogroup_7	9	1049.0	2	orthogroup_1123	1065.0	16.0	0.015253
orthogroup_703	9	558.0	1	orthogroup_1634	555.0	3.0	0.005376
orthogroup_719	9	397.0	3	orthogroup_299	398.0	1.0	0.002519
orthogroup_72	8	266.0	2	orthogroup_1611	265.0	1.0	0.003759
orthogroup_741	9	447.0	2	orthogroup_1378	449.0	2.0	0.004474
orthogroup_755	9	512.0	1	orthogroup_1119	513.0	1.0	0.001953
orthogroup_758	8	410.0	1	orthogroup_917	419.0	9.0	0.021951
orthogroup_759	9	299.0	2	orthogroup_652	299.0	0.0	0.0
orthogroup_76	8	341.0	1	orthogroup_993	344.0	3.0	0.008798
orthogroup_767	10	462.0	1	orthogroup_1425	460.0	2.0	0.004329
orthogroup_768	9	501.0	3	orthogroup_571	498.0	3.0	0.005988
orthogroup_772	9	208.0	1	orthogroup_982	208.0	0.0	0.0
orthogroup_784	9	483.0	2	orthogroup_818	481.0	2.0	0.004141
orthogroup_790	9	590.0	2	orthogroup_236	586.0	4.0	0.00678
orthogroup_799	10	509.0	2	orthogroup_26	505.0	4.0	0.007859
orthogroup_80	9	162.0	3	orthogroup_340	161.0	1.0	0.006173
orthogroup_81	10	277.0	1	orthogroup_625	276.5	0.5	0.001805
orthogroup_812	9	188.0	1	orthogroup_1022	188.0	0.0	0.0
orthogroup_824	10	593.0	1	orthogroup_1440	590.0	3.0	0.005059
orthogroup_864	9	127.0	1	orthogroup_337	127.0	0.0	0.0
orthogroup_867	8	131.0	1	orthogroup_1506	128.0	3.0	0.022901
orthogroup_870	9	366.0	1	orthogroup_1303	366.0	0.0	0.0
orthogroup_921	9	256.0	1	orthogroup_162	255.0	1.0	0.003906
orthogroup_923	10	428.0	1	orthogroup_514	429.0	1.0	0.002336
orthogroup_934	8	395.0	3	orthogroup_1563	387.0	8.0	0.020253
orthogroup_938	8	403.0	7	orthogroup_990	419.0	16.0	0.039702
orthogroup_946	8	543.0	2	orthogroup_1521	521.0	22.0	0.040516
orthogroup_96	9	367.0	2	orthogroup_142	366.0	1.0	0.002725
orthogroup_968	8	648.0	2	orthogroup_1103	616.0	32.0	0.049383
orthogroup_971	8	366.0	2	orthogroup_332	376.0	10.0	0.027322
orthogroup_972	9	179.0	1	orthogroup_1049	180.0	1.0	0.005587
orthogroup_980	8	245.0	1	orthogroup_556	234.5	10.5	0.042857
orthogroup_985	10	211.0	1	orthogroup_915	211.0	0.0	0.0
orthogroup_995	9	291.0	1	orthogroup_1381	292.0	1.0	0.003436
