membrane_orthogroup	soluble_orthogroup	tmd_index	modal_tmd_count	membrane_target_relative_position	soluble_alignment_column	soluble_median_relative_position	absolute_relative_difference	species_total
orthogroup_1141	orthogroup_635	1	9	0.02380952	15	0.02390442	0.00009490	10
orthogroup_1141	orthogroup_635	2	9	0.14550265	61	0.14608259	0.00057995	10
orthogroup_1141	orthogroup_635	3	9	0.20634921	88	0.20717168	0.00082247	10
orthogroup_1141	orthogroup_635	4	9	0.31746032	151	0.31655509	0.00090523	10
orthogroup_1141	orthogroup_635	5	9	0.44179894	198	0.44105862	0.00074032	10
orthogroup_1141	orthogroup_635	6	9	0.54232804	236	0.54172105	0.00060699	10
orthogroup_1141	orthogroup_635	7	9	0.69312169	293	0.69271469	0.00040700	10
orthogroup_1141	orthogroup_635	8	9	0.76984127	322	0.76953602	0.00030525	10
orthogroup_1141	orthogroup_635	9	9	0.89682540	370	0.89668856	0.00013684	10
orthogroup_1154	orthogroup_263	1	10	0.05982906	22	0.05982906	0.00000000	9
orthogroup_1154	orthogroup_263	2	10	0.12535613	45	0.12535613	0.00000000	9
orthogroup_1154	orthogroup_263	3	10	0.20630372	73	0.20512821	0.00117552	9
orthogroup_1154	orthogroup_263	4	10	0.27220630	97	0.27350427	0.00129797	9
orthogroup_1154	orthogroup_263	5	10	0.34383954	122	0.34472934	0.00088980	9
orthogroup_1154	orthogroup_263	6	10	0.61318052	216	0.61253561	0.00064490	9
orthogroup_1154	orthogroup_263	7	10	0.69230769	244	0.69230769	0.00000000	9
orthogroup_1154	orthogroup_263	8	10	0.76923077	271	0.76923077	0.00000000	9
orthogroup_1154	orthogroup_263	9	10	0.85470085	301	0.85470085	0.00000000	9
orthogroup_1154	orthogroup_263	10	10	0.91737892	323	0.91737892	0.00000000	9
orthogroup_1158	orthogroup_1518	1	5	0.03418803	46	0.03418803	0.00000000	9
orthogroup_1158	orthogroup_1518	2	5	0.09743590	83	0.09743590	0.00000000	9
orthogroup_1158	orthogroup_1518	3	5	0.14358974	110	0.14358974	0.00000000	9
orthogroup_1158	orthogroup_1518	4	5	0.22905983	160	0.22905983	0.00000000	9
orthogroup_1158	orthogroup_1518	5	5	0.28717949	194	0.28717949	0.00000000	9
orthogroup_1177	orthogroup_254	1	6	0.06056841	25	0.06089744	0.00032903	10
orthogroup_1177	orthogroup_254	2	6	0.15064103	53	0.15064103	0.00000000	10
orthogroup_1177	orthogroup_254	3	6	0.27884615	93	0.27884615	0.00000000	10
orthogroup_1177	orthogroup_254	4	6	0.39730640	130	0.39743590	0.00012950	10
orthogroup_1177	orthogroup_254	5	6	0.50961538	165	0.50961538	0.00000000	10
orthogroup_1177	orthogroup_254	6	6	0.59615385	192	0.59615385	0.00000000	10
orthogroup_1181	orthogroup_814	1	6	0.04130809	32	0.04137931	0.00007122	10
orthogroup_1181	orthogroup_814	2	6	0.11703959	77	0.11724138	0.00020179	10
orthogroup_1181	orthogroup_814	3	6	0.24268503	151	0.24310345	0.00041842	10
orthogroup_1181	orthogroup_814	4	6	0.28399312	175	0.28448276	0.00048964	10
orthogroup_1181	orthogroup_814	5	6	0.42340792	259	0.42413793	0.00073001	10
orthogroup_1181	orthogroup_814	6	6	0.49397590	300	0.49482759	0.00085168	10
orthogroup_119	orthogroup_251	1	3	0.03311258	6	0.03205128	0.00106130	8
orthogroup_119	orthogroup_251	2	3	0.29139073	46	0.28846154	0.00292919	8
orthogroup_119	orthogroup_251	3	3	0.45213925	72	0.45512821	0.00298896	8
orthogroup_1208	orthogroup_1534	1	5	0.00422535	4	0.00421941	0.00000594	9
orthogroup_1208	orthogroup_1534	2	5	0.28450704	203	0.28410689	0.00040015	9
orthogroup_1208	orthogroup_1534	3	5	0.31786217	227	0.31786217	0.00000000	9
orthogroup_1208	orthogroup_1534	4	5	0.47531735	339	0.47538678	0.00006943	9
orthogroup_1208	orthogroup_1534	5	5	0.91819464	655	0.91842475	0.00023011	9
orthogroup_1225	orthogroup_1607	1	3	0.06622517	11	0.06666667	0.00044150	9
orthogroup_1225	orthogroup_1607	2	3	0.18543046	29	0.18666667	0.00123620	9
orthogroup_1225	orthogroup_1607	3	3	0.35761589	55	0.36000000	0.00238411	9
orthogroup_1267	orthogroup_1232	1	10	0.04878049	20	0.04891304	0.00013256	9
orthogroup_1267	orthogroup_1232	2	10	0.12195122	47	0.12228261	0.00033139	9
orthogroup_1267	orthogroup_1232	3	10	0.19783198	75	0.19836957	0.00053759	9
orthogroup_1267	orthogroup_1232	4	10	0.30894309	116	0.30978261	0.00083952	9
orthogroup_1267	orthogroup_1232	5	10	0.37669377	141	0.37771739	0.00102362	9
orthogroup_1267	orthogroup_1232	6	10	0.43089431	161	0.43206522	0.00117091	9
orthogroup_1267	orthogroup_1232	7	10	0.48780488	182	0.48913043	0.00132556	9
orthogroup_1267	orthogroup_1232	8	10	0.73983740	284	0.73913043	0.00070696	9
orthogroup_1267	orthogroup_1232	9	10	0.83197832	318	0.83152174	0.00045658	9
orthogroup_1267	orthogroup_1232	10	10	0.93224932	355	0.93206522	0.00018411	9
orthogroup_1270	orthogroup_1068	1	7	0.09442060	24	0.09442060	0.00000000	9
orthogroup_1270	orthogroup_1068	2	7	0.24034335	58	0.24034335	0.00000000	9
orthogroup_1270	orthogroup_1068	3	7	0.36051502	86	0.36051502	0.00000000	9
orthogroup_1270	orthogroup_1068	4	7	0.47639485	113	0.47639485	0.00000000	9
orthogroup_1270	orthogroup_1068	5	7	0.59656652	141	0.59656652	0.00000000	9
orthogroup_1270	orthogroup_1068	6	7	0.70815451	167	0.70815451	0.00000000	9
orthogroup_1270	orthogroup_1068	7	7	0.89699571	211	0.89699571	0.00000000	9
orthogroup_1271	orthogroup_143	1	14	0.00196850	5	0.00195312	0.00001538	10
orthogroup_1271	orthogroup_143	2	14	0.05708661	33	0.05664062	0.00044599	10
orthogroup_1271	orthogroup_143	3	14	0.16732283	90	0.16796875	0.00064592	10
orthogroup_1271	orthogroup_143	4	14	0.22440945	119	0.22460938	0.00019993	10
orthogroup_1271	orthogroup_143	5	14	0.26574803	140	0.26562500	0.00012303	10
orthogroup_1271	orthogroup_143	6	14	0.34055118	178	0.33984375	0.00070743	10
orthogroup_1271	orthogroup_143	7	14	0.43897638	237	0.43945312	0.00047675	10
orthogroup_1271	orthogroup_143	8	14	0.50195953	269	0.50195312	0.00000641	10
orthogroup_1271	orthogroup_143	9	14	0.56299213	300	0.56250000	0.00049213	10
orthogroup_1271	orthogroup_143	10	14	0.61614173	331	0.62304688	0.00690514	10
orthogroup_1271	orthogroup_143	11	14	0.66732283	354	0.66796875	0.00064592	10
orthogroup_1271	orthogroup_143	12	14	0.75787402	400	0.75781250	0.00006152	10
orthogroup_1271	orthogroup_143	13	14	0.82480315	434	0.82421875	0.00058440	10
orthogroup_1271	orthogroup_143	14	14	0.91338583	480	0.91406250	0.00067667	10
orthogroup_1294	orthogroup_73	1	4	0.00340136	6	0.00350877	0.00010741	8
orthogroup_1294	orthogroup_73	2	4	0.10884354	36	0.10877193	0.00007161	8
orthogroup_1294	orthogroup_73	3	4	0.58163265	172	0.58105858	0.00057407	8
orthogroup_1294	orthogroup_73	4	4	0.68027211	201	0.68182652	0.00155441	8
orthogroup_1309	orthogroup_78	1	12	0.06666667	27	0.06549118	0.00117548	8
orthogroup_1309	orthogroup_78	2	12	0.15061728	61	0.15113350	0.00051622	8
orthogroup_1309	orthogroup_78	3	12	0.22222222	89	0.22166247	0.00055975	8
orthogroup_1309	orthogroup_78	4	12	0.28148148	113	0.28211587	0.00063439	8
orthogroup_1309	orthogroup_78	5	12	0.37283951	149	0.37279597	0.00004354	8
orthogroup_1309	orthogroup_78	6	12	0.44197531	176	0.44080605	0.00116926	8
orthogroup_1309	orthogroup_78	7	12	0.55555556	222	0.55667506	0.00111951	8
orthogroup_1309	orthogroup_78	8	12	0.65185185	260	0.65239295	0.00054110	8
orthogroup_1309	orthogroup_78	9	12	0.72345679	288	0.72292191	0.00053488	8
orthogroup_1309	orthogroup_78	10	12	0.78024691	312	0.78085642	0.00060951	8
orthogroup_1309	orthogroup_78	11	12	0.86913580	347	0.86901763	0.00011817	8
orthogroup_1309	orthogroup_78	12	12	0.93827160	374	0.93702771	0.00124390	8
orthogroup_1311	orthogroup_873	1	3	0.06986900	17	0.06986900	0.00000000	9
orthogroup_1311	orthogroup_873	2	3	0.55021834	128	0.54978355	0.00043479	9
orthogroup_1311	orthogroup_873	3	3	0.74672489	190	0.74672489	0.00000000	9
orthogroup_1313	orthogroup_1089	1	5	0.12935323	27	0.13000000	0.00064677	9
orthogroup_1313	orthogroup_1089	2	5	0.29500000	60	0.29500000	0.00000000	9
orthogroup_1313	orthogroup_1089	3	5	0.54000000	109	0.54000000	0.00000000	9
orthogroup_1313	orthogroup_1089	4	5	0.62000000	125	0.62000000	0.00000000	9
orthogroup_1313	orthogroup_1089	5	5	0.75000000	151	0.75000000	0.00000000	9
orthogroup_1328	orthogroup_811	1	6	0.09491525	30	0.09459459	0.00032066	10
orthogroup_1328	orthogroup_811	2	6	0.28135593	85	0.28040541	0.00095053	10
orthogroup_1328	orthogroup_811	3	6	0.41694915	126	0.41554054	0.00140861	10
orthogroup_1328	orthogroup_811	4	6	0.51864407	157	0.52027027	0.00162620	10
orthogroup_1328	orthogroup_811	5	6	0.71162947	214	0.71283784	0.00120837	10
orthogroup_1328	orthogroup_811	6	6	0.91525424	276	0.91554054	0.00028630	10
orthogroup_1335	orthogroup_187	1	11	0.42882883	486	0.42908118	0.00025235	9
orthogroup_1335	orthogroup_187	2	11	0.47106691	533	0.47100803	0.00005888	9
orthogroup_1335	orthogroup_187	3	11	0.50090416	567	0.50133809	0.00043393	9
orthogroup_1335	orthogroup_187	4	11	0.54110208	612	0.54148082	0.00037874	9
orthogroup_1335	orthogroup_187	5	11	0.57052441	645	0.57091882	0.00039441	9
orthogroup_1335	orthogroup_187	6	11	0.60488246	683	0.60481713	0.00006533	9
orthogroup_1335	orthogroup_187	7	11	0.63504968	717	0.63514719	0.00009751	9
orthogroup_1335	orthogroup_187	8	11	0.70524412	796	0.70551601	0.00027189	9
orthogroup_1335	orthogroup_187	9	11	0.75248419	850	0.75289920	0.00041501	9
orthogroup_1335	orthogroup_187	10	11	0.78842676	890	0.78858162	0.00015486	9
orthogroup_1335	orthogroup_187	11	11	0.81283906	917	0.81266726	0.00017180	9
orthogroup_136	orthogroup_357	1	5	0.19305019	52	0.19305019	0.00000000	9
orthogroup_136	orthogroup_357	2	5	0.33976834	90	0.33976834	0.00000000	9
orthogroup_136	orthogroup_357	3	5	0.56756757	149	0.56756757	0.00000000	9
orthogroup_136	orthogroup_357	4	5	0.76447876	200	0.76447876	0.00000000	9
orthogroup_136	orthogroup_357	5	5	0.91891892	240	0.91891892	0.00000000	9
orthogroup_1362	orthogroup_532	1	6	0.01739130	5	0.01739130	0.00000000	9
orthogroup_1362	orthogroup_532	2	6	0.12608696	30	0.12608696	0.00000000	9
orthogroup_1362	orthogroup_532	3	6	0.26086957	61	0.26086957	0.00000000	9
orthogroup_1362	orthogroup_532	4	6	0.39130435	93	0.39130435	0.00000000	9
orthogroup_1362	orthogroup_532	5	6	0.63043478	148	0.63043478	0.00000000	9
orthogroup_1362	orthogroup_532	6	6	0.87391304	204	0.87391304	0.00000000	9
orthogroup_1363	orthogroup_1075	1	6	0.02521008	7	0.02542373	0.00021364	9
orthogroup_1363	orthogroup_1075	2	6	0.26890756	64	0.26694915	0.00195841	9
orthogroup_1363	orthogroup_1075	3	6	0.39075630	93	0.38983051	0.00092579	9
orthogroup_1363	orthogroup_1075	4	6	0.63025210	150	0.63135593	0.00110383	9
orthogroup_1363	orthogroup_1075	5	6	0.71129707	169	0.71186441	0.00056734	9
orthogroup_1363	orthogroup_1075	6	6	0.81092437	192	0.80932203	0.00160234	9
orthogroup_1365	orthogroup_1028	1	14	0.01446281	38	0.01430032	0.00016249	10
orthogroup_1365	orthogroup_1028	2	14	0.07024793	65	0.06945870	0.00078923	10
orthogroup_1365	orthogroup_1028	3	14	0.14462810	102	0.14504612	0.00041802	10
orthogroup_1365	orthogroup_1028	4	14	0.21487603	136	0.21450482	0.00037121	10
orthogroup_1365	orthogroup_1028	5	14	0.26033058	158	0.25944869	0.00088189	10
orthogroup_1365	orthogroup_1028	6	14	0.32644628	190	0.32482159	0.00162470	10
orthogroup_1365	orthogroup_1028	7	14	0.41735537	242	0.41777263	0.00041726	10
orthogroup_1365	orthogroup_1028	8	14	0.48347107	274	0.48314553	0.00032555	10
orthogroup_1365	orthogroup_1028	9	14	0.55785124	311	0.55873294	0.00088170	10
orthogroup_1365	orthogroup_1028	10	14	0.61157025	337	0.61184842	0.00027817	10
orthogroup_1365	orthogroup_1028	11	14	0.67148760	366	0.67107812	0.00040948	10
orthogroup_1365	orthogroup_1028	12	14	0.76859504	414	0.76891616	0.00032111	10
orthogroup_1365	orthogroup_1028	13	14	0.84090909	449	0.84049080	0.00041829	10
orthogroup_1365	orthogroup_1028	14	14	0.93801653	497	0.93865031	0.00063378	10
orthogroup_1379	orthogroup_180	1	10	0.05203620	31	0.05180180	0.00023440	10
orthogroup_1379	orthogroup_180	2	10	0.17873303	87	0.17792793	0.00080510	10
orthogroup_1379	orthogroup_180	3	10	0.26018100	127	0.26126126	0.00108027	10
orthogroup_1379	orthogroup_180	4	10	0.36425339	173	0.36486486	0.00061147	10
orthogroup_1379	orthogroup_180	5	10	0.41402715	195	0.41441441	0.00038727	10
orthogroup_1379	orthogroup_180	6	10	0.49547511	231	0.49549550	0.00002038	10
orthogroup_1379	orthogroup_180	7	10	0.61312217	285	0.61261261	0.00050956	10
orthogroup_1379	orthogroup_180	8	10	0.70814480	327	0.70720721	0.00093759	10
orthogroup_1379	orthogroup_180	9	10	0.85520362	393	0.85585586	0.00065224	10
orthogroup_1379	orthogroup_180	10	10	0.90045249	413	0.90090090	0.00044841	10
orthogroup_1380	orthogroup_313	1	12	0.02551020	11	0.02538087	0.00012933	8
orthogroup_1380	orthogroup_313	2	12	0.12229319	49	0.12182820	0.00046500	8
orthogroup_1380	orthogroup_313	3	12	0.19132653	76	0.19035656	0.00096997	8
orthogroup_1380	orthogroup_313	4	12	0.24744898	98	0.24619448	0.00125450	8
orthogroup_1380	orthogroup_313	5	12	0.35159293	140	0.35279415	0.00120122	8
orthogroup_1380	orthogroup_313	6	12	0.41581633	165	0.41624634	0.00043001	8
orthogroup_1380	orthogroup_313	7	12	0.52799000	209	0.52792218	0.00006782	8
orthogroup_1380	orthogroup_313	8	12	0.62675101	248	0.62690759	0.00015658	8
orthogroup_1380	orthogroup_313	9	12	0.69387755	274	0.69289786	0.00097969	8
orthogroup_1380	orthogroup_313	10	12	0.75223459	297	0.75127388	0.00096071	8
orthogroup_1380	orthogroup_313	11	12	0.83673469	331	0.83756885	0.00083415	8
orthogroup_1380	orthogroup_313	12	12	0.91326531	361	0.91371147	0.00044616	8
orthogroup_1384	orthogroup_84	1	6	0.05816184	23	0.05660377	0.00155807	10
orthogroup_1384	orthogroup_84	2	6	0.23270440	79	0.23270440	0.00000000	10
orthogroup_1384	orthogroup_84	3	6	0.35534591	118	0.35534591	0.00000000	10
orthogroup_1384	orthogroup_84	4	6	0.52515723	172	0.52515723	0.00000000	10
orthogroup_1384	orthogroup_84	5	6	0.71068896	231	0.71069182	0.00000286	10
orthogroup_1384	orthogroup_84	6	6	0.89937107	291	0.89937107	0.00000000	10
orthogroup_139	orthogroup_805	1	8	0.36446174	278	0.36447368	0.00001195	9
orthogroup_139	orthogroup_805	2	8	0.44876783	342	0.44868421	0.00008362	9
orthogroup_139	orthogroup_805	3	8	0.54863813	418	0.54868421	0.00004608	9
orthogroup_139	orthogroup_805	4	8	0.58495460	446	0.58552632	0.00057171	9
orthogroup_139	orthogroup_805	5	8	0.66147860	504	0.66184211	0.00036351	9
orthogroup_139	orthogroup_805	6	8	0.85732815	653	0.85789474	0.00056659	9
orthogroup_139	orthogroup_805	7	8	0.89623865	682	0.89605263	0.00018602	9
orthogroup_139	orthogroup_805	8	8	0.93514916	712	0.93552632	0.00037716	9
orthogroup_14	orthogroup_349	1	4	0.07793391	16	0.07853403	0.00060013	8
orthogroup_14	orthogroup_349	2	4	0.28342246	55	0.28272251	0.00069995	8
orthogroup_14	orthogroup_349	3	4	0.48663102	94	0.48691099	0.00027998	8
orthogroup_14	orthogroup_349	4	4	0.77540107	150	0.77486911	0.00053196	8
orthogroup_140	orthogroup_1600	1	6	0.03741497	19	0.03780069	0.00038572	10
orthogroup_140	orthogroup_1600	2	6	0.24829932	93	0.24742268	0.00087664	10
orthogroup_140	orthogroup_1600	3	6	0.35714286	125	0.35738832	0.00024546	10
orthogroup_140	orthogroup_1600	4	6	0.53401361	176	0.53264605	0.00136756	10
orthogroup_140	orthogroup_1600	5	6	0.72448980	232	0.72508591	0.00059611	10
orthogroup_140	orthogroup_1600	6	6	0.90816327	285	0.90721649	0.00094677	10
orthogroup_1406	orthogroup_1079	1	6	0.02622378	16	0.02608696	0.00013682	9
orthogroup_1406	orthogroup_1079	2	6	0.08216783	48	0.08173913	0.00042870	9
