membrane_orthogroup	pseudo_tmd_index	species_total	species_with_feature	presence_fraction	median_distance_start	mean_distance_start	sd_distance_start	variance_distance_start
orthogroup_1271	10	10	0	0.000000				
orthogroup_1271	11	10	0	0.000000				
orthogroup_1271	12	10	0	0.000000				
orthogroup_1271	13	10	0	0.000000				
orthogroup_1271	14	10	0	0.000000				
orthogroup_1294	1	8	4	0.500000	11.000000	11.000000	0.000000	0.000000
orthogroup_1294	2	8	2	0.250000	-3.000000	-3.000000	0.000000	0.000000
orthogroup_1294	3	8	0	0.000000				
orthogroup_1294	4	8	2	0.250000	55.000000	55.000000	0.000000	0.000000
orthogroup_1309	1	8	1	0.125000	7.000000	7.000000		
orthogroup_1309	2	8	0	0.000000				
orthogroup_1309	3	8	0	0.000000				
orthogroup_1309	4	8	0	0.000000				
orthogroup_1309	5	8	0	0.000000				
orthogroup_1309	6	8	1	0.125000	21.000000	21.000000		
orthogroup_1309	7	8	0	0.000000				
orthogroup_1309	8	8	0	0.000000				
orthogroup_1309	9	8	1	0.125000	-8.000000	-8.000000		
orthogroup_1309	10	8	0	0.000000				
orthogroup_1309	11	8	0	0.000000				
orthogroup_1309	12	8	0	0.000000				
orthogroup_1311	1	9	2	0.222222	16.000000	16.000000	38.183766	1458.000000
orthogroup_1311	2	9	0	0.000000				
orthogroup_1311	3	9	1	0.111111	12.000000	12.000000		
orthogroup_1313	1	9	1	0.111111	-10.000000	-10.000000		
orthogroup_1313	2	9	0	0.000000				
orthogroup_1313	3	9	0	0.000000				
orthogroup_1313	4	9	0	0.000000				
orthogroup_1313	5	9	0	0.000000				
orthogroup_1328	1	10	5	0.500000	-21.000000	-20.900000	0.223607	0.050000
orthogroup_1328	2	10	3	0.300000	-20.000000	-19.666667	1.527525	2.333333
orthogroup_1328	3	10	1	0.100000	-17.000000	-17.000000		
orthogroup_1328	4	10	0	0.000000				
orthogroup_1328	5	10	1	0.100000	0.000000	0.000000		
orthogroup_1328	6	10	0	0.000000				
orthogroup_1335	1	9	4	0.444444	-273.500000	-254.000000	201.048916	40420.666667
orthogroup_1335	2	9	0	0.000000				
orthogroup_1335	3	9	0	0.000000				
orthogroup_1335	4	9	0	0.000000				
orthogroup_1335	5	9	1	0.111111	-3.000000	-3.000000		
orthogroup_1335	6	9	0	0.000000				
orthogroup_1335	7	9	0	0.000000				
orthogroup_1335	8	9	1	0.111111	4.000000	4.000000		
orthogroup_1335	9	9	0	0.000000				
orthogroup_1335	10	9	0	0.000000				
orthogroup_1335	11	9	2	0.222222	59.500000	59.500000	10.606602	112.500000
orthogroup_136	1	9	1	0.111111	10.000000	10.000000		
orthogroup_136	2	9	0	0.000000				
orthogroup_136	3	9	2	0.222222	12.000000	12.000000	7.071068	50.000000
orthogroup_136	4	9	0	0.000000				
orthogroup_136	5	9	3	0.333333	0.000000	0.333333	0.577350	0.333333
orthogroup_1362	1	9	2	0.222222	6.000000	6.000000	0.000000	0.000000
orthogroup_1362	2	9	0	0.000000				
orthogroup_1362	3	9	0	0.000000				
orthogroup_1362	4	9	0	0.000000				
orthogroup_1362	5	9	0	0.000000				
orthogroup_1362	6	9	0	0.000000				
orthogroup_1363	1	9	0	0.000000				
orthogroup_1363	2	9	0	0.000000				
orthogroup_1363	3	9	0	0.000000				
orthogroup_1363	4	9	0	0.000000				
orthogroup_1363	5	9	0	0.000000				
orthogroup_1363	6	9	0	0.000000				
orthogroup_1365	1	10	0	0.000000				
orthogroup_1365	2	10	0	0.000000				
orthogroup_1365	3	10	0	0.000000				
orthogroup_1365	4	10	0	0.000000				
orthogroup_1365	5	10	0	0.000000				
orthogroup_1365	6	10	0	0.000000				
orthogroup_1365	7	10	1	0.100000	13.000000	13.000000		
orthogroup_1365	8	10	1	0.100000	-12.000000	-12.000000		
orthogroup_1365	9	10	0	0.000000				
orthogroup_1365	10	10	1	0.100000	4.000000	4.000000		
orthogroup_1365	11	10	0	0.000000				
orthogroup_1365	12	10	0	0.000000				
orthogroup_1365	13	10	0	0.000000				
orthogroup_1365	14	10	0	0.000000				
orthogroup_1379	1	10	0	0.000000				
orthogroup_1379	2	10	1	0.100000	-16.000000	-16.000000		
orthogroup_1379	3	10	0	0.000000				
orthogroup_1379	4	10	0	0.000000				
orthogroup_1379	5	10	0	0.000000				
orthogroup_1379	6	10	0	0.000000				
orthogroup_1379	7	10	0	0.000000				
orthogroup_1379	8	10	1	0.100000	-11.000000	-11.000000		
orthogroup_1379	9	10	0	0.000000				
orthogroup_1379	10	10	0	0.000000				
orthogroup_1380	1	8	0	0.000000				
orthogroup_1380	2	8	0	0.000000				
orthogroup_1380	3	8	0	0.000000				
orthogroup_1380	4	8	0	0.000000				
orthogroup_1380	5	8	0	0.000000				
orthogroup_1380	6	8	0	0.000000				
orthogroup_1380	7	8	0	0.000000				
orthogroup_1380	8	8	0	0.000000				
orthogroup_1380	9	8	0	0.000000				
orthogroup_1380	10	8	0	0.000000				
orthogroup_1380	11	8	0	0.000000				
orthogroup_1380	12	8	0	0.000000				
orthogroup_1384	1	10	1	0.100000	-15.500000	-15.500000		
orthogroup_1384	2	10	0	0.000000				
orthogroup_1384	3	10	0	0.000000				
orthogroup_1384	4	10	0	0.000000				
orthogroup_1384	5	10	1	0.100000	14.000000	14.000000		
orthogroup_1384	6	10	1	0.100000	-4.000000	-4.000000		
orthogroup_139	1	9	0	0.000000				
orthogroup_139	2	9	0	0.000000				
orthogroup_139	3	9	0	0.000000				
orthogroup_139	4	9	0	0.000000				
orthogroup_139	5	9	0	0.000000				
orthogroup_139	6	9	0	0.000000				
orthogroup_139	7	9	0	0.000000				
orthogroup_139	8	9	1	0.111111	7.000000	7.000000		
orthogroup_14	1	8	0	0.000000				
orthogroup_14	2	8	0	0.000000				
orthogroup_14	3	8	1	0.125000	20.000000	20.000000		
orthogroup_14	4	8	0	0.000000				
orthogroup_140	1	10	1	0.100000	31.000000	31.000000		
orthogroup_140	2	10	1	0.100000	-4.000000	-4.000000		
orthogroup_140	3	10	0	0.000000				
orthogroup_140	4	10	1	0.100000	1.000000	1.000000		
orthogroup_140	5	10	2	0.200000	-6.000000	-6.000000	14.142136	200.000000
orthogroup_140	6	10	0	0.000000				
orthogroup_1406	1	9	1	0.111111	-13.000000	-13.000000		
orthogroup_1406	2	9	0	0.000000				
orthogroup_1406	3	9	0	0.000000				
orthogroup_1406	4	9	0	0.000000				
orthogroup_1406	5	9	0	0.000000				
orthogroup_1406	6	9	3	0.333333	63.000000	66.000000	33.600595	1129.000000
orthogroup_1408	1	9	2	0.222222	-18.000000	-18.000000	29.698485	882.000000
orthogroup_1408	2	9	0	0.000000				
orthogroup_1408	3	9	0	0.000000				
orthogroup_1408	4	9	1	0.111111	-12.000000	-12.000000		
orthogroup_1408	5	9	0	0.000000				
orthogroup_1408	6	9	0	0.000000				
orthogroup_1408	7	9	0	0.000000				
orthogroup_1408	8	9	1	0.111111	31.000000	31.000000		
orthogroup_141	1	10	0	0.000000				
orthogroup_141	2	10	1	0.100000	-24.000000	-24.000000		
orthogroup_141	3	10	1	0.100000	10.000000	10.000000		
orthogroup_141	4	10	0	0.000000				
orthogroup_141	5	10	0	0.000000				
orthogroup_141	6	10	1	0.100000	21.000000	21.000000		
orthogroup_1410	1	9	0	0.000000				
orthogroup_1410	2	9	0	0.000000				
orthogroup_1410	3	9	0	0.000000				
orthogroup_1410	4	9	2	0.222222	28.000000	28.000000	8.485281	72.000000
orthogroup_1412	1	9	0	0.000000				
orthogroup_1412	2	9	2	0.222222	-19.500000	-19.500000	3.535534	12.500000
orthogroup_1412	3	9	0	0.000000				
orthogroup_1412	4	9	1	0.111111	9.000000	9.000000		
orthogroup_1412	5	9	0	0.000000				
orthogroup_1412	6	9	1	0.111111	16.000000	16.000000		
orthogroup_1435	1	8	0	0.000000				
orthogroup_1435	2	8	0	0.000000				
orthogroup_1435	3	8	0	0.000000				
orthogroup_1435	4	8	0	0.000000				
orthogroup_1435	5	8	0	0.000000				
orthogroup_1435	6	8	1	0.125000	11.000000	11.000000		
orthogroup_1439	1	9	1	0.111111	-40.000000	-40.000000		
orthogroup_1439	2	9	0	0.000000				
orthogroup_1439	3	9	0	0.000000				
orthogroup_1439	4	9	0	0.000000				
orthogroup_1439	5	9	0	0.000000				
orthogroup_1439	6	9	0	0.000000				
orthogroup_1439	7	9	1	0.111111	-10.000000	-10.000000		
orthogroup_1439	8	9	0	0.000000				
orthogroup_1439	9	9	0	0.000000				
orthogroup_1439	10	9	0	0.000000				
orthogroup_1439	11	9	0	0.000000				
orthogroup_1439	12	9	0	0.000000				
orthogroup_1439	13	9	1	0.111111	-9.000000	-9.000000		
orthogroup_1439	14	9	4	0.444444	20.000000	20.000000	0.000000	0.000000
orthogroup_1443	1	9	1	0.111111	-8.500000	-8.500000		
orthogroup_1443	2	9	0	0.000000				
orthogroup_1443	3	9	0	0.000000				
orthogroup_1443	4	9	0	0.000000				
orthogroup_1443	5	9	4	0.444444	-5.250000	-5.625000	0.946485	0.895833
orthogroup_1443	6	9	0	0.000000				
orthogroup_1444	1	9	0	0.000000				
orthogroup_1444	2	9	0	0.000000				
orthogroup_1444	3	9	1	0.111111	10.000000	10.000000		
orthogroup_1444	4	9	0	0.000000				
orthogroup_1445	1	9	2	0.222222	-70.500000	-70.500000	3.535534	12.500000
orthogroup_1445	2	9	0	0.000000				
orthogroup_1445	3	9	0	0.000000				
orthogroup_1445	4	9	0	0.000000				
orthogroup_1445	5	9	0	0.000000				
orthogroup_1445	6	9	0	0.000000				
orthogroup_145	1	8	0	0.000000				
orthogroup_145	2	8	0	0.000000				
orthogroup_145	3	8	0	0.000000				
orthogroup_145	4	8	0	0.000000				
orthogroup_145	5	8	0	0.000000				
orthogroup_145	6	8	1	0.125000	34.000000	34.000000		
orthogroup_1457	1	10	3	0.300000	-19.000000	-23.000000	6.928203	48.000000
orthogroup_1457	2	10	0	0.000000				
orthogroup_1457	3	10	0	0.000000				
orthogroup_1457	4	10	1	0.100000	0.000000	0.000000		
orthogroup_1457	5	10	0	0.000000				
orthogroup_1457	6	10	0	0.000000				
orthogroup_1457	7	10	0	0.000000				
orthogroup_1457	8	10	0	0.000000				
orthogroup_1457	9	10	0	0.000000				
orthogroup_1457	10	10	1	0.100000	-3.000000	-3.000000		
orthogroup_1462	1	9	0	0.000000				
orthogroup_1462	2	9	0	0.000000				
orthogroup_1462	3	9	0	0.000000				
orthogroup_1462	4	9	0	0.000000				
orthogroup_1462	5	9	1	0.111111	-1.000000	-1.000000		
orthogroup_1462	6	9	0	0.000000				
orthogroup_1462	7	9	0	0.000000				
orthogroup_1462	8	9	0	0.000000				
orthogroup_1462	9	9	1	0.111111	-3.000000	-3.000000		
orthogroup_1462	10	9	0	0.000000				
orthogroup_147	1	8	0	0.000000				
orthogroup_147	2	8	0	0.000000				
orthogroup_147	3	8	0	0.000000				
orthogroup_147	4	8	0	0.000000				
orthogroup_147	5	8	0	0.000000				
orthogroup_147	6	8	0	0.000000				
orthogroup_147	7	8	1	0.125000	-14.500000	-14.500000		
orthogroup_147	8	8	1	0.125000	-7.000000	-7.000000		
orthogroup_1477	1	8	0	0.000000				
orthogroup_1477	2	8	0	0.000000				
orthogroup_1477	3	8	2	0.250000	7.500000	7.500000	17.677670	312.500000
orthogroup_1481	1	9	0	0.000000				
orthogroup_1481	2	9	1	0.111111	3.000000	3.000000		
orthogroup_1481	3	9	2	0.222222	7.000000	7.000000	7.071068	50.000000
orthogroup_1515	1	8	0	0.000000				
orthogroup_1515	2	8	0	0.000000				
orthogroup_1515	3	8	1	0.125000	-12.000000	-12.000000		
orthogroup_1515	4	8	0	0.000000				
orthogroup_1519	1	10	1	0.100000	0.000000	0.000000		
orthogroup_1519	2	10	0	0.000000				
orthogroup_1519	3	10	0	0.000000				
orthogroup_1519	4	10	0	0.000000				
orthogroup_1519	5	10	0	0.000000				
orthogroup_1519	6	10	0	0.000000				
orthogroup_1519	7	10	1	0.100000	5.000000	5.000000		
orthogroup_1519	8	10	0	0.000000				
orthogroup_1519	9	10	0	0.000000				
orthogroup_1519	10	10	0	0.000000				
orthogroup_1524	1	9	0	0.000000				
orthogroup_1524	2	9	0	0.000000				
orthogroup_1524	3	9	0	0.000000				
orthogroup_1538	1	9	0	0.000000				
orthogroup_1538	2	9	0	0.000000				
orthogroup_1538	3	9	0	0.000000				
orthogroup_1538	4	9	0	0.000000				
orthogroup_1554	1	8	0	0.000000				
orthogroup_1554	2	8	0	0.000000				
orthogroup_1554	3	8	1	0.125000	9.000000	9.000000		
orthogroup_1554	4	8	0	0.000000				
orthogroup_1554	5	8	1	0.125000	4.000000	4.000000		
orthogroup_1554	6	8	0	0.000000				
orthogroup_1557	1	8	1	0.125000	-18.000000	-18.000000		
orthogroup_1557	2	8	2	0.250000	4.500000	4.500000	16.263456	264.500000
orthogroup_1557	3	8	0	0.000000				
orthogroup_1557	4	8	0	0.000000				
orthogroup_1557	5	8	0	0.000000				
orthogroup_1557	6	8	0	0.000000				
orthogroup_1557	7	8	0	0.000000				
orthogroup_1557	8	8	0	0.000000				
orthogroup_1557	9	8	0	0.000000				
orthogroup_1557	10	8	0	0.000000				
orthogroup_1557	11	8	1	0.125000	-2.000000	-2.000000		
orthogroup_1557	12	8	1	0.125000	20.500000	20.500000		
orthogroup_156	1	9	0	0.000000				
orthogroup_156	2	9	0	0.000000				
orthogroup_156	3	9	0	0.000000				
orthogroup_156	4	9	0	0.000000				
orthogroup_156	5	9	0	0.000000				
orthogroup_156	6	9	0	0.000000				
orthogroup_156	7	9	0	0.000000				
orthogroup_156	8	9	0	0.000000				
orthogroup_156	9	9	0	0.000000				
orthogroup_1575	1	10	1	0.100000	2.000000	2.000000		
orthogroup_1575	2	10	0	0.000000				
orthogroup_1575	3	10	1	0.100000	-9.000000	-9.000000		
orthogroup_1575	4	10	1	0.100000	-11.000000	-11.000000		
orthogroup_1575	5	10	2	0.200000	-3.000000	-3.000000	26.870058	722.000000
orthogroup_1577	1	9	2	0.222222	6.000000	6.000000	4.242641	18.000000
orthogroup_1577	2	9	0	0.000000				
orthogroup_1577	3	9	2	0.222222	10.000000	10.000000	0.000000	0.000000
orthogroup_1577	4	9	0	0.000000				
orthogroup_1577	5	9	2	0.222222	3.250000	3.250000	0.353553	0.125000
orthogroup_158	3	9	0	0.000000				
orthogroup_158	4	9	0	0.000000				
orthogroup_158	5	9	0	0.000000				
orthogroup_158	6	9	2	0.222222	14.000000	14.000000	0.000000	0.000000
orthogroup_158	7	9	0	0.000000				
orthogroup_158	8	9	0	0.000000				
orthogroup_158	9	9	1	0.111111	-3.000000	-3.000000		
orthogroup_158	10	9	0	0.000000				
orthogroup_158	11	9	0	0.000000				
orthogroup_158	12	9	0	0.000000				
orthogroup_159	1	8	0	0.000000				
orthogroup_159	2	8	1	0.125000	-4.000000	-4.000000		
orthogroup_159	3	8	0	0.000000				
orthogroup_159	4	8	0	0.000000				
orthogroup_159	5	8	0	0.000000				
orthogroup_159	6	8	1	0.125000	-2.000000	-2.000000		
orthogroup_159	7	8	0	0.000000				
orthogroup_159	8	8	3	0.375000	-16.000000	-6.666667	16.165808	261.333333
orthogroup_159	9	8	0	0.000000				
orthogroup_159	10	8	0	0.000000				
orthogroup_159	11	8	0	0.000000				
orthogroup_159	12	8	0	0.000000				
orthogroup_159	13	8	1	0.125000	4.000000	4.000000		
orthogroup_159	14	8	0	0.000000				
orthogroup_1596	1	9	1	0.111111	6.000000	6.000000		
orthogroup_1596	2	9	1	0.111111	13.500000	13.500000		
orthogroup_1596	3	9	0	0.000000				
orthogroup_1596	4	9	0	0.000000				
orthogroup_1596	5	9	0	0.000000				
orthogroup_1596	6	9	1	0.111111	4.000000	4.000000		
orthogroup_1619	1	9	1	0.111111	5.000000	5.000000		
orthogroup_1619	2	9	0	0.000000				
orthogroup_1619	3	9	0	0.000000				
orthogroup_1619	4	9	0	0.000000				
orthogroup_1619	5	9	0	0.000000				
orthogroup_1619	6	9	3	0.333333	7.000000	7.000000	0.000000	0.000000
orthogroup_1627	1	9	0	0.000000				
orthogroup_1627	2	9	0	0.000000				
orthogroup_1627	3	9	0	0.000000				
orthogroup_1627	4	9	0	0.000000				
orthogroup_1627	5	9	1	0.111111	24.000000	24.000000		
orthogroup_1627	6	9	0	0.000000				
orthogroup_1627	7	9	0	0.000000				
orthogroup_1627	8	9	0	0.000000				
orthogroup_1627	9	9	0	0.000000				
orthogroup_1627	10	9	0	0.000000				
orthogroup_1627	11	9	0	0.000000				
orthogroup_1627	12	9	0	0.000000				
orthogroup_1636	1	10	0	0.000000				
orthogroup_1636	2	10	1	0.100000	36.000000	36.000000		
orthogroup_1636	3	10	1	0.100000	-27.000000	-27.000000		
orthogroup_1636	4	10	0	0.000000				
orthogroup_1636	5	10	0	0.000000				
orthogroup_1636	6	10	1	0.100000	131.000000	131.000000		
orthogroup_1642	1	9	2	0.222222	-0.500000	-0.500000	10.606602	112.500000
orthogroup_1642	2	9	0	0.000000				
orthogroup_1642	3	9	0	0.000000				
orthogroup_1642	4	9	3	0.333333	31.000000	27.666667	5.773503	33.333333
orthogroup_1642	5	9	1	0.111111	-3.000000	-3.000000		
orthogroup_1642	6	9	1	0.111111	18.000000	18.000000		
orthogroup_1644	1	9	0	0.000000				
orthogroup_1644	2	9	0	0.000000				
orthogroup_1644	3	9	0	0.000000				
orthogroup_1644	4	9	0	0.000000				
orthogroup_1644	5	9	0	0.000000				
orthogroup_1644	6	9	0	0.000000				
orthogroup_1644	7	9	1	0.111111	-8.000000	-8.000000		
orthogroup_1644	8	9	0	0.000000				
orthogroup_1644	9	9	0	0.000000				
orthogroup_1644	10	9	0	0.000000				
orthogroup_1651	1	10	2	0.200000	9.500000	9.500000	0.707107	0.500000
orthogroup_1651	2	10	0	0.000000				
orthogroup_1651	3	10	1	0.100000	-5.000000	-5.000000		
orthogroup_1651	4	10	0	0.000000				
orthogroup_1651	5	10	0	0.000000				
orthogroup_1651	6	10	0	0.000000				
orthogroup_1651	7	10	1	0.100000	-14.000000	-14.000000		
