permutation	median_variance_without_tmd1
153	58.666666500000005
154	127.0625
155	110.25
156	151.083333
157	256.8291665
158	178.583333
159	80.333333
160	157.90625
161	65.166667
162	122.16666649999999
163	372.333333
164	168.75
165	39.083333
166	98.583333
167	193.75
168	146.583333
169	76.625
170	181.333333
171	144.0
172	163.66666650000002
173	72.583333
174	80.333333
175	115.729167
176	449.5
177	91.03125
178	72.4
179	53.083333
180	108.25
181	86.583333
182	42.25
183	123.375
184	176.333333
185	120.333333
186	116.708333
187	143.98958349999998
188	82.75
189	88.11458350000001
190	308.0
191	127.75
192	67.19791649999999
193	100.333333
194	117.25
195	286.958333
196	158.25
197	65.333333
198	144.083333
199	120.333333
200	271.5416665
201	121.333333
202	192.0
203	137.583333
204	144.083333
205	243.0
206	73.083333
207	163.53125
208	287.325
209	198.3
210	120.333333
211	102.333333
212	202.208333
213	234.333333
214	80.333333
215	106.44791649999999
216	579.425
217	67.4479165
218	52.166666500000005
219	89.91666649999999
220	110.25
221	106.54166649999999
222	119.5
223	119.58333300000001
224	116.5875
225	322.833333
226	155.083333
227	69.4479165
228	224.575
229	235.70833299999998
230	114.0
231	212.333333
232	99.229167
233	70.83333350000001
234	217.75
235	44.083333
236	77.66666649999999
237	99.75
238	186.125
239	81.583333
240	90.29166649999999
241	84.625
242	65.04166649999999
243	218.583333
244	197.78125
245	75.0
246	136.0
247	61.625
248	160.16666650000002
249	85.29166649999999
250	141.54166650000002
251	115.6666665
252	121.07291649999999
253	184.333333
254	125.5
255	258.833333
256	75.125
257	89.15
258	75.125
259	313.5
260	471.895833
261	75.208333
262	234.333333
263	83.54166649999999
264	223.0
265	147.0
266	161.333333
267	133.29166650000002
268	120.44791649999999
269	125.9166665
270	91.5
271	229.29166650000002
272	190.583333
273	200.166667
274	110.25
275	174.39583349999998
276	96.75
277	99.958333
278	84.41666649999999
279	279.0416665
280	61.583333
281	360.1666665
282	108.458333
283	162.875
284	115.583333
285	50.041666500000005
286	76.583333
287	113.29166649999999
288	159.94791650000002
289	231.16666650000002
290	118.083333
291	152.333333
292	109.864583
293	161.333333
294	77.583333
295	61.625
296	117.91666649999999
297	158.79166650000002
298	168.64166649999999
299	256.333333
300	194.6625
301	126.583333
302	119.833333
303	132.708333
304	204.45833299999998
305	180.25
306	151.78125
307	299.0729165
308	86.25
309	75.958333
310	117.0
311	221.708333
312	146.333333
313	121.83333300000001
314	99.583333
315	101.04166649999999
316	189.1666665
317	65.583333
318	95.583333
319	207.833333
320	113.25
321	87.333333
322	71.40625
323	116.333333
324	129.0
325	146.04166650000002
326	149.5625
327	154.333333
328	231.25
329	67.0
330	128.666667
331	101.958333
332	81.95833350000001
333	89.583333
334	108.0
335	160.75
336	117.25
337	158.25
338	118.03125
339	92.333333
340	89.91666649999999
341	107.29166649999999
342	136.825
343	176.01666649999999
344	296.333333
345	102.97916649999999
346	102.833333
347	77.66666649999999
348	313.25
349	168.03125
350	85.08333350000001
351	187.75
352	176.333333
353	85.333333
354	96.333333
355	86.333333
356	140.083333
357	167.91666650000002
358	86.083333
359	132.29166650000002
360	93.0
361	82.625
362	115.79166649999999
363	474.333333
364	322.1666665
365	94.916667
366	80.333333
367	242.20833299999998
368	252.333333
369	144.79166650000002
370	69.666667
371	77.833333
372	140.458333
373	108.0
374	139.083333
375	109.666667
376	119.73958350000001
377	128.833333
378	230.333333
379	302.1666665
380	20.2125
381	208.0
382	131.26666649999999
383	118.083333
384	84.66666649999999
385	124.895833
386	69.708333
387	69.708333
388	126.75
389	277.083333
390	570.0208335
391	105.083333
392	67.0
393	133.66666650000002
394	104.333333
395	217.0
396	75.0
397	196.0
398	171.6979165
399	71.125
400	91.0
401	82.833333
402	175.583333
403	79.083333
404	149.333333
405	448.083333
406	99.25
407	122.29166649999999
408	109.833333
409	97.9
410	516.4166665
411	156.9479165
412	73.16666649999999
413	246.333333
414	134.333333
415	98.416667
416	99.25
417	96.583333
418	84.29166649999999
419	107.04166649999999
420	46.083333
421	256.583333
422	172.458333
423	105.5625
424	108.0
425	80.66666649999999
426	85.333333
427	108.0
428	142.208333
429	60.833332999999996
430	147.0
431	115.208333
432	127.0
433	380.333333
434	73.0
435	105.583333
436	81.0625
437	87.0625
438	916.75
439	78.26249999999999
440	75.0
441	87.41666649999999
442	48.0
443	171.79166650000002
444	129.0625
445	588.25
446	175.583333
447	123.9166665
448	159.58333349999998
449	100.45
450	141.125
451	175.583333
452	154.1
453	97.333333
454	96.729167
455	133.0
456	82.04166649999999
457	217.5
458	74.16666649999999
459	206.333333
460	71.5520835
461	292.583333
462	86.833333
463	106.75
464	392.33333300000004
465	204.083333
466	142.75
467	65.333333
468	234.333333
469	100.04166649999999
470	63.0
471	96.333333
472	126.333333
473	257.333333
474	91.583333
475	122.333333
476	188.958333
477	80.8
478	84.1625
479	179.0
480	92.833333
481	107.05
482	220.333333
483	133.083333
484	90.25
485	96.75
486	220.78125
487	95.25
488	74.458333
489	224.0
490	126.75
491	119.44791649999999
492	157.725
493	239.083333
494	156.42291649999999
495	65.6666665
496	65.91666649999999
497	132.333333
498	96.333333
499	245.25
500	171.75
501	80.083333
502	81.333333
503	305.1666665
504	74.333333
505	96.08333350000001
506	114.0
507	88.083333
508	116.08333300000001
509	85.333333
510	126.333333
511	134.333333
512	119.95833300000001
513	75.25
514	59.083333
515	104.66666649999999
516	114.083333
517	241.1666665
518	215.45833299999998
519	326.5625
520	55.541666500000005
521	133.0
522	120.583333
523	93.583333
524	183.83333349999998
525	75.0
526	124.91666649999999
527	114.333333
528	62.15625
529	68.083333
530	211.583333
531	150.5
532	93.333333
533	80.91666649999999
534	90.75
535	74.16666649999999
536	183.333333
537	97.5
538	148.958333
539	90.41666649999999
540	188.083333
541	110.125
542	193.0
543	75.0
544	101.333333
545	65.333333
546	163.083333
547	56.333333
548	265.75
549	126.75
550	71.375
551	47.95
552	112.29166649999999
553	43.5625
554	93.25
555	190.625
556	105.083333
557	118.75
558	203.04166650000002
559	68.333333
560	83.0
561	100.333333
562	507.0
563	124.75
564	169.0
565	152.458333
566	115.45833300000001
567	108.01666650000001
568	173.083333
569	261.9166665
570	93.583333
571	74.083333
572	91.0
573	161.333333
574	144.083333
575	79.0
576	109.79166649999999
577	96.833333
578	42.25
579	151.75
580	196.0625
581	200.333333
582	123.28125
583	75.25
584	154.708333
585	113.229167
586	96.833333
587	84.083333
588	112.208333
589	114.0
590	133.625
591	108.3
592	101.333333
593	140.333333
594	322.5416665
595	86.083333
596	113.333333
597	84.5
598	145.083333
599	149.0416665
600	69.5
601	120.333333
602	331.0
603	110.4416665
604	61.0
605	204.25
606	114.75
607	119.375
608	100.666667
609	90.333333
610	106.20833300000001
611	372.333333
612	59.666666500000005
613	58.458333
614	224.66666650000002
615	90.41666649999999
616	28.175
617	197.69791650000002
618	114.333333
619	115.0625
620	56.333333
621	51.2916665
622	89.458333
623	295.125
624	59.822916500000005
625	82.75
626	154.333333
627	162.395833
628	245.91666650000002
629	78.25
630	320.333333
631	92.0625
632	160.458333
633	271.0
634	312.208333
635	119.625
636	61.0
637	72.583333
638	114.82291649999999
639	101.0625
640	63.583333
641	150.583333
642	143.583333
643	212.32291650000002
644	192.0
645	69.333333
646	99.25
647	55.75
648	109.875
649	203.16666650000002
650	162.66666650000002
651	93.583333
652	57.25
653	41.333333
654	105.5
655	175.29166650000002
656	110.166667
657	126.33333300000001
658	100.625
659	114.333333
660	122.083333
661	91.708333
662	98.708333
663	152.333333
664	64.2916665
665	58.90625
666	78.0
667	80.583333
668	140.333333
669	253.729167
670	135.66666650000002
671	56.333333
672	413.1666665
673	234.333333
674	421.864583
675	55.541666500000005
676	128.41666650000002
677	78.0
678	53.083333499999995
679	214.75
680	103.708333
681	137.875
682	153.583333
683	67.583333
684	147.25
685	104.083333
686	248.6666665
687	121.16666649999999
688	189.53125
689	114.333333
690	192.0
691	67.208333
692	176.583333
693	192.0
694	151.083333
695	201.708333
696	130.23958349999998
697	438.583333
698	160.729167
699	214.9875
700	105.29166649999999
701	77.0
702	114.083333
703	154.333333
704	165.083333
705	204.16666650000002
706	116.083333
707	165.25
708	110.333333
709	58.114583499999995
710	205.666667
711	114.04166649999999
712	106.0
713	155.03125
714	80.583333
715	353.458333
716	136.57291650000002
717	95.083333
718	96.333333
719	70.0
720	159.458333
721	135.625
722	258.729167
723	131.833333
724	177.333333
725	92.82291649999999
726	147.0
727	127.0
728	245.0
729	173.625
730	228.083333
731	144.0
732	128.25
733	84.208333
734	114.25
735	78.083333
736	116.583333
737	98.0
738	184.25
739	57.333333
740	70.333333
741	157.53125
742	141.375
743	100.0
744	124.5625
745	151.083333
746	136.4416665
747	180.675
748	239.29166650000002
749	93.66666649999999
750	105.083333
751	66.0
752	180.25
753	72.583333
754	167.8166665
755	60.166666500000005
756	112.16666649999999
757	102.083333
758	192.0
759	75.0
760	162.333333
761	102.333333
762	132.458333
763	213.75
764	225.5
765	61.4416665
766	84.0
767	75.16666649999999
768	63.5
769	136.708333
770	112.583333
771	124.833333
772	91.583333
773	147.0
774	84.0
775	73.958333
776	86.333333
777	73.16666649999999
778	61.2916665
779	144.04166650000002
780	190.79166650000002
781	252.083333
782	116.91666649999999
783	127.0
784	110.28125
785	87.708333
786	61.333332999999996
787	83.083333
788	95.32291649999999
789	67.0
790	124.54166649999999
791	126.19583349999999
792	225.333333
793	169.0
794	142.333333
795	141.333333
796	160.16666650000002
797	114.16666649999999
798	50.447916500000005
799	117.25
800	129.333333
801	108.0
802	192.5
803	58.333333
804	52.90625
805	228.641667
806	81.083333
807	188.04166650000002
808	131.958333
809	89.16666649999999
810	148.0
811	98.53125
812	144.083333
813	120.58333300000001
814	147.0
815	204.8
816	162.333333
817	190.333333
818	113.54166649999999
819	133.333333
820	140.25
821	187.25
822	155.54166650000002
823	949.0
824	120.333333
825	124.083333
826	79.91666649999999
827	115.125
828	57.166666500000005
829	267.708333
830	385.375
831	108.79166649999999
832	177.5666665
833	120.333333
834	333.5416665
835	130.583333
836	97.833333
837	204.28125
838	111.083333
839	93.16666649999999
840	117.25
841	184.333333
842	82.15
843	118.29166649999999
844	123.83333300000001
845	64.729167
846	91.0
847	147.833333
848	148.66666650000002
849	73.9
850	93.0
851	152.833333
852	269.708333
853	229.14166649999999
854	78.583333
855	60.666667
856	80.333333
857	152.54166650000002
858	77.583333
859	71.5875
860	162.29166650000002
861	108.583333
862	62.583333
863	154.4125
864	94.0
865	88.28125
866	66.125
867	347.9166665
868	106.04166649999999
869	100.79166649999999
870	80.083333
871	97.66666649999999
872	87.375
873	192.0
874	151.79166650000002
875	172.29166650000002
876	350.333333
877	91.333333
878	104.2916665
879	61.708333
880	77.958333
881	92.91666649999999
882	40.333333
883	385.333333
884	137.2583335
885	128.583333
886	66.65625
887	64.625
888	65.583333
889	176.583333
890	94.79166649999999
891	69.65625
892	56.7958335
893	60.083333
894	178.083333
895	130.395833
896	210.229167
897	155.90625
898	59.239583
899	80.333333
900	127.83333300000001
901	151.0
902	104.333333
903	65.583333
904	94.41666649999999
905	128.66666650000002
906	32.229167
907	42.333333
908	184.333333
909	151.75
910	132.16666650000002
911	134.333333
912	216.125
913	264.05
914	188.083333
915	165.583333
916	50.958333
917	109.75
918	88.54166649999999
919	410.083333
920	262.5833335
921	91.0
922	147.0
923	117.75
924	158.54166650000002
925	200.083333
926	103.65625
927	162.04166650000002
928	92.29166649999999
929	123.083333
930	66.91666649999999
931	160.78125
932	79.833333
933	80.82291649999999
934	865.266667
935	115.26666650000001
936	144.083333
937	57.166667
938	118.66666649999999
939	289.583333
940	103.395833
941	87.583333
942	198.125
943	55.75
944	58.791666500000005
945	115.583333
946	102.73958350000001
947	306.825
948	85.29166649999999
949	120.45833300000001
950	101.6666665
951	90.25
952	93.25
953	70.333333
954	158.66666650000002
955	175.0
956	121.0
957	145.29166650000002
958	56.333333
959	91.0791665
960	95.41666649999999
961	158.41666650000002
962	42.583333
963	139.0
964	133.583333
965	117.0
966	102.333333
967	124.333333
968	80.333333
969	81.208333
970	156.208333
971	84.79166649999999
972	338.2916665
973	55.8
974	137.5
975	334.083333
976	126.16666649999999
977	102.333333
978	76.0
979	67.895833
980	91.0
981	188.833333
982	161.583333
983	52.833333499999995
984	118.375
985	73.083333
986	120.333333
987	108.729167
988	91.583333
989	64.19791649999999
990	54.895833499999995
991	130.916667
992	160.5625
993	99.458333
994	497.1666665
995	75.25
996	177.125
997	90.416667
998	188.083333
999	133.54166650000002
1000	142.625
