orthogroup	tmd_index	modal_tmd_count	species_total	species_with_feature	presence_fraction	median_distance_start	mean_distance_start	sd_distance_start	variance_distance_start
orthogroup_1453	11	11	8	0	0.000000				
orthogroup_1457	1	10	10	1	0.100000	-52.000000	-52.000000		
orthogroup_1457	2	10	10	0	0.000000				
orthogroup_1457	3	10	10	0	0.000000				
orthogroup_1457	4	10	10	0	0.000000				
orthogroup_1457	5	10	10	0	0.000000				
orthogroup_1457	6	10	10	0	0.000000				
orthogroup_1457	7	10	10	0	0.000000				
orthogroup_1457	8	10	10	1	0.100000	26.000000	26.000000		
orthogroup_1457	9	10	10	0	0.000000				
orthogroup_1457	10	10	10	2	0.200000	61.000000	61.000000	64.346717	4140.500000
orthogroup_1462	1	10	9	7	0.777778	7.000000	5.571429	5.159365	26.619048
orthogroup_1462	2	10	9	1	0.111111	12.000000	12.000000		
orthogroup_1462	3	10	9	2	0.222222	5.500000	5.500000	4.949747	24.500000
orthogroup_1462	4	10	9	2	0.222222	1.000000	1.000000	0.000000	0.000000
orthogroup_1462	5	10	9	0	0.000000				
orthogroup_1462	6	10	9	2	0.222222	-4.500000	-4.500000	0.707107	0.500000
orthogroup_1462	7	10	9	0	0.000000				
orthogroup_1462	8	10	9	0	0.000000				
orthogroup_1462	9	10	9	1	0.111111	17.500000	17.500000		
orthogroup_1462	10	10	9	2	0.222222	13.500000	13.500000	12.020815	144.500000
orthogroup_147	1	8	8	1	0.125000	0.000000	0.000000		
orthogroup_147	2	8	8	0	0.000000				
orthogroup_147	3	8	8	0	0.000000				
orthogroup_147	4	8	8	1	0.125000	-92.000000	-92.000000		
orthogroup_147	5	8	8	0	0.000000				
orthogroup_147	6	8	8	0	0.000000				
orthogroup_147	7	8	8	1	0.125000	23.000000	23.000000		
orthogroup_147	8	8	8	0	0.000000				
orthogroup_1477	1	3	8	0	0.000000				
orthogroup_1477	2	3	8	0	0.000000				
orthogroup_1477	3	3	8	0	0.000000				
orthogroup_1481	1	3	9	2	0.222222	0.000000	0.000000	0.000000	0.000000
orthogroup_1481	2	3	9	0	0.000000				
orthogroup_1481	3	3	9	1	0.111111	34.000000	34.000000		
orthogroup_1515	1	4	8	2	0.250000	-18.000000	-18.000000	1.414214	2.000000
orthogroup_1515	2	4	8	0	0.000000				
orthogroup_1515	3	4	8	0	0.000000				
orthogroup_1515	4	4	8	0	0.000000				
orthogroup_1519	1	10	10	1	0.100000	2.500000	2.500000		
orthogroup_1519	2	10	10	0	0.000000				
orthogroup_1519	3	10	10	0	0.000000				
orthogroup_1519	4	10	10	0	0.000000				
orthogroup_1519	5	10	10	0	0.000000				
orthogroup_1519	6	10	10	0	0.000000				
orthogroup_1519	7	10	10	0	0.000000				
orthogroup_1519	8	10	10	0	0.000000				
orthogroup_1519	9	10	10	1	0.100000	-3.000000	-3.000000		
orthogroup_1519	10	10	10	0	0.000000				
orthogroup_1524	1	3	9	1	0.111111	-3.000000	-3.000000		
orthogroup_1524	2	3	9	1	0.111111	9.500000	9.500000		
orthogroup_1524	3	3	9	1	0.111111	14.500000	14.500000		
orthogroup_1538	1	4	9	4	0.444444	12.000000	8.625000	13.186957	173.895833
orthogroup_1538	2	4	9	0	0.000000				
orthogroup_1538	3	4	9	0	0.000000				
orthogroup_1538	4	4	9	0	0.000000				
orthogroup_1554	1	6	8	3	0.375000	12.000000	11.333333	1.154701	1.333333
orthogroup_1554	2	6	8	2	0.250000	25.000000	25.000000	0.000000	0.000000
orthogroup_1554	3	6	8	4	0.500000	1.000000	-0.500000	3.785939	14.333333
