orthogroup	species_count	proteins_with_tmds	modal_tmd_count	proteins_pass	correspondence_fraction	topology_status
orthogroup_156	9	9	9	8	0.889	PASS
orthogroup_1575	10	10	5	9	0.900	PASS
orthogroup_1577	9	9	5	9	1.000	PASS
orthogroup_158	9	9	12	9	1.000	PASS
orthogroup_159	8	8	14	8	1.000	PASS
orthogroup_1592	8	8	4	7	0.875	PASS
orthogroup_1596	9	9	6	9	1.000	PASS
orthogroup_1619	9	9	6	9	1.000	PASS
orthogroup_1627	9	9	12	9	1.000	PASS
orthogroup_1636	10	10	6	10	1.000	PASS
orthogroup_1640	8	8	13	7	0.875	PASS
orthogroup_1642	9	9	6	8	0.889	PASS
orthogroup_1644	9	9	10	9	1.000	PASS
orthogroup_1645	8	8	4	8	1.000	PASS
orthogroup_1651	10	10	16	10	1.000	PASS
orthogroup_1663	9	9	13	9	1.000	PASS
orthogroup_1685	10	10	9	10	1.000	PASS
orthogroup_1687	8	8	10	8	1.000	PASS
orthogroup_1689	10	10	8	9	0.900	PASS
orthogroup_1696	9	9	10	9	1.000	PASS
orthogroup_1701	9	9	4	8	0.889	PASS
orthogroup_1723	10	10	5	10	1.000	PASS
orthogroup_1733	9	9	12	9	1.000	PASS
orthogroup_174	9	9	6	8	0.889	PASS
orthogroup_1742	9	9	4	9	1.000	PASS
orthogroup_1769	9	9	12	9	1.000	PASS
orthogroup_1773	8	8	6	8	1.000	PASS
orthogroup_1779	8	8	7	8	1.000	PASS
orthogroup_178	10	10	12	10	1.000	PASS
orthogroup_1783	8	8	6	8	1.000	PASS
orthogroup_1784	8	8	12	8	1.000	PASS
orthogroup_1788	8	8	9	8	1.000	PASS
orthogroup_1798	8	8	4	8	1.000	PASS
orthogroup_1799	9	9	12	9	1.000	PASS
orthogroup_1804	8	8	8	8	1.000	PASS
orthogroup_1808	8	8	4	8	1.000	PASS
orthogroup_1811	8	8	13	8	1.000	PASS
orthogroup_1819	8	8	13	8	1.000	PASS
orthogroup_1826	8	8	12	8	1.000	PASS
orthogroup_1830	9	9	15	8	0.889	PASS
orthogroup_1831	8	8	10	8	1.000	PASS
orthogroup_188	8	8	7	8	1.000	PASS
orthogroup_195	8	8	12	8	1.000	PASS
orthogroup_2	9	9	3	9	1.000	PASS
orthogroup_203	10	10	13	10	1.000	PASS
orthogroup_204	8	8	8	8	1.000	PASS
orthogroup_210	9	9	6	9	1.000	PASS
orthogroup_22	8	8	6	8	1.000	PASS
orthogroup_23	8	8	6	8	1.000	PASS
orthogroup_231	8	8	4	8	1.000	PASS
orthogroup_233	9	9	12	8	0.889	PASS
orthogroup_244	9	9	12	9	1.000	PASS
orthogroup_25	9	9	5	9	1.000	PASS
orthogroup_260	8	8	4	8	1.000	PASS
orthogroup_272	9	9	3	9	1.000	PASS
orthogroup_277	8	8	14	8	1.000	PASS
orthogroup_279	9	9	10	9	1.000	PASS
orthogroup_283	8	8	10	7	0.875	PASS
orthogroup_284	9	9	10	9	1.000	PASS
orthogroup_300	8	8	10	8	1.000	PASS
orthogroup_303	9	9	11	9	1.000	PASS
orthogroup_322	8	8	6	8	1.000	PASS
orthogroup_329	9	9	12	9	1.000	PASS
orthogroup_33	8	8	3	8	1.000	PASS
orthogroup_331	8	8	5	8	1.000	PASS
orthogroup_334	9	9	10	9	1.000	PASS
orthogroup_335	9	9	5	9	1.000	PASS
orthogroup_338	10	10	5	10	1.000	PASS
orthogroup_346	9	9	5	9	1.000	PASS
orthogroup_352	10	10	3	9	0.900	PASS
orthogroup_354	9	9	11	9	1.000	PASS
orthogroup_36	8	8	5	8	1.000	PASS
orthogroup_371	9	9	4	9	1.000	PASS
orthogroup_378	8	8	12	8	1.000	PASS
orthogroup_385	8	8	10	8	1.000	PASS
orthogroup_387	8	8	13	8	1.000	PASS
orthogroup_390	9	9	10	9	1.000	PASS
orthogroup_408	9	9	10	9	1.000	PASS
orthogroup_415	9	9	9	9	1.000	PASS
orthogroup_418	8	8	5	8	1.000	PASS
orthogroup_419	8	8	6	8	1.000	PASS
orthogroup_420	8	8	6	7	0.875	PASS
orthogroup_425	8	8	12	8	1.000	PASS
orthogroup_429	8	8	12	7	0.875	PASS
orthogroup_454	9	9	6	9	1.000	PASS
orthogroup_46	10	10	6	10	1.000	PASS
orthogroup_471	9	9	6	9	1.000	PASS
orthogroup_480	9	9	6	9	1.000	PASS
orthogroup_484	9	9	6	9	1.000	PASS
orthogroup_489	9	9	6	9	1.000	PASS
orthogroup_49	9	9	4	9	1.000	PASS
orthogroup_515	9	9	3	9	1.000	PASS
orthogroup_526	9	9	6	9	1.000	PASS
orthogroup_531	9	9	14	9	1.000	PASS
orthogroup_534	10	10	5	10	1.000	PASS
orthogroup_540	9	9	6	9	1.000	PASS
orthogroup_547	10	10	6	10	1.000	PASS
orthogroup_548	9	9	6	9	1.000	PASS
orthogroup_551	9	9	4	9	1.000	PASS
orthogroup_554	9	9	8	9	1.000	PASS
orthogroup_565	8	8	20	8	1.000	PASS
orthogroup_582	8	8	12	8	1.000	PASS
orthogroup_588	8	8	6	8	1.000	PASS
orthogroup_596	9	9	4	9	1.000	PASS
orthogroup_598	9	9	9	9	1.000	PASS
orthogroup_6	9	9	3	9	1.000	PASS
orthogroup_609	9	9	7	9	1.000	PASS
orthogroup_610	9	9	5	9	1.000	PASS
orthogroup_618	9	9	4	9	1.000	PASS
orthogroup_626	9	9	9	9	1.000	PASS
orthogroup_627	9	9	4	9	1.000	PASS
orthogroup_65	9	9	4	9	1.000	PASS
orthogroup_663	9	9	11	9	1.000	PASS
orthogroup_682	8	8	4	8	1.000	PASS
orthogroup_684	9	9	12	9	1.000	PASS
orthogroup_687	9	9	8	9	1.000	PASS
orthogroup_689	8	8	12	8	1.000	PASS
orthogroup_7	9	9	12	9	1.000	PASS
orthogroup_703	9	9	13	9	1.000	PASS
orthogroup_719	9	9	12	9	1.000	PASS
orthogroup_72	8	8	9	8	1.000	PASS
orthogroup_741	9	9	3	9	1.000	PASS
orthogroup_755	9	9	8	9	1.000	PASS
orthogroup_758	8	8	12	8	1.000	PASS
orthogroup_759	9	9	10	9	1.000	PASS
orthogroup_76	8	8	6	8	1.000	PASS
orthogroup_767	10	10	9	10	1.000	PASS
orthogroup_768	9	9	14	9	1.000	PASS
orthogroup_772	9	9	8	9	1.000	PASS
orthogroup_784	9	9	10	9	1.000	PASS
orthogroup_790	9	9	6	9	1.000	PASS
orthogroup_799	10	10	4	10	1.000	PASS
orthogroup_80	9	9	4	9	1.000	PASS
orthogroup_81	10	10	6	10	1.000	PASS
orthogroup_812	9	9	4	9	1.000	PASS
orthogroup_824	10	10	6	10	1.000	PASS
orthogroup_834	8	8	4	8	1.000	PASS
orthogroup_864	9	9	3	9	1.000	PASS
orthogroup_867	8	8	3	8	1.000	PASS
orthogroup_870	9	9	6	9	1.000	PASS
orthogroup_900	9	9	12	9	1.000	PASS
orthogroup_921	9	9	6	9	1.000	PASS
orthogroup_923	10	10	11	10	1.000	PASS
orthogroup_934	8	8	12	8	1.000	PASS
orthogroup_938	8	8	11	8	1.000	PASS
orthogroup_946	8	8	11	8	1.000	PASS
orthogroup_96	9	9	11	9	1.000	PASS
orthogroup_968	8	8	4	8	1.000	PASS
orthogroup_971	8	8	11	8	1.000	PASS
orthogroup_972	9	9	6	9	1.000	PASS
orthogroup_980	8	8	4	8	1.000	PASS
orthogroup_985	10	10	6	10	1.000	PASS
orthogroup_995	9	9	7	9	1.000	PASS
