membrane_orthogroup	soluble_orthogroup	species_coverage	membrane_median_length	soluble_median_length	absolute_length_difference	relative_length_difference	match_rank
orthogroup_1406	orthogroup_1079	9	573.0	576.0	3.0	0.005236	1
orthogroup_1408	orthogroup_45	9	417.0	419.0	2.0	0.004796	3
orthogroup_141	orthogroup_1460	10	341.5	342.0	0.5	0.001464	1
orthogroup_1410	orthogroup_903	9	414.0	414.0	0.0	0.0	1
orthogroup_1412	orthogroup_1329	9	296.0	296.0	0.0	0.0	1
orthogroup_1435	orthogroup_1297	8	300.0	298.0	2.0	0.006667	1
orthogroup_1439	orthogroup_1186	9	463.0	465.0	2.0	0.00432	1
orthogroup_1443	orthogroup_1466	9	243.0	237.0	6.0	0.024691	1
orthogroup_1444	orthogroup_1454	9	120.0	120.0	0.0	0.0	1
orthogroup_1445	orthogroup_1247	9	276.0	275.0	1.0	0.003623	2
orthogroup_145	orthogroup_564	8	290.0	288.0	2.0	0.006897	1
orthogroup_1457	orthogroup_267	10	414.0	413.0	1.0	0.002415	1
orthogroup_1462	orthogroup_897	9	325.0	325.0	0.0	0.0	1
orthogroup_147	orthogroup_1125	8	514.0	510.0	4.0	0.007782	1
orthogroup_1477	orthogroup_1234	8	119.0	117.0	2.0	0.016807	1
orthogroup_1481	orthogroup_1661	9	100.0	100.0	0.0	0.0	1
orthogroup_1515	orthogroup_161	8	159.5	160.0	0.5	0.003135	1
orthogroup_1519	orthogroup_1025	10	296.5	297.0	0.5	0.001686	1
orthogroup_1524	orthogroup_701	9	129.0	129.0	0.0	0.0	1
orthogroup_1538	orthogroup_1127	9	146.0	147.0	1.0	0.006849	2
orthogroup_1554	orthogroup_1493	8	204.0	199.0	5.0	0.02451	2
orthogroup_1557	orthogroup_731	8	432.0	431.0	1.0	0.002315	1
orthogroup_156	orthogroup_1632	9	285.0	284.0	1.0	0.003509	1
orthogroup_1575	orthogroup_60	10	229.0	228.0	1.0	0.004367	1
orthogroup_1577	orthogroup_570	9	222.0	222.0	0.0	0.0	3
orthogroup_158	orthogroup_66	9	439.0	440.0	1.0	0.002278	3
orthogroup_159	orthogroup_646	8	491.0	477.5	13.5	0.027495	1
orthogroup_1596	orthogroup_937	9	231.0	231.0	0.0	0.0	2
orthogroup_1619	orthogroup_97	9	162.0	162.0	0.0	0.0	1
orthogroup_1627	orthogroup_1666	9	536.0	539.0	3.0	0.005597	3
orthogroup_1636	orthogroup_163	10	588.0	588.0	0.0	0.0	1
orthogroup_1642	orthogroup_1438	9	321.0	321.0	0.0	0.0	2
orthogroup_1644	orthogroup_1430	9	293.0	293.0	0.0	0.0	1
orthogroup_1651	orthogroup_854	10	613.0	613.5	0.5	0.000816	1
orthogroup_1663	orthogroup_951	9	483.0	483.0	0.0	0.0	1
orthogroup_1685	orthogroup_837	10	295.0	292.0	3.0	0.010169	4
orthogroup_1687	orthogroup_1139	8	336.0	333.0	3.0	0.008929	1
orthogroup_1689	orthogroup_823	10	325.0	325.0	0.0	0.0	1
orthogroup_1696	orthogroup_859	9	370.0	368.0	2.0	0.005405	3
orthogroup_1701	orthogroup_1261	9	130.0	130.0	0.0	0.0	1
orthogroup_1723	orthogroup_795	10	219.0	219.0	0.0	0.0	1
orthogroup_1733	orthogroup_5	9	1025.0	1047.0	22.0	0.021463	1
orthogroup_174	orthogroup_833	9	148.0	148.0	0.0	0.0	1
orthogroup_1742	orthogroup_1423	9	450.0	450.0	0.0	0.0	1
orthogroup_1769	orthogroup_544	9	416.0	416.0	0.0	0.0	1
orthogroup_1773	orthogroup_602	8	188.0	191.5	3.5	0.018617	3
orthogroup_178	orthogroup_1641	10	397.0	397.0	0.0	0.0	1
orthogroup_1783	orthogroup_1776	8	188.5	186.0	2.5	0.013263	1
orthogroup_1819	orthogroup_1807	8	502.0	504.0	2.0	0.003984	1
orthogroup_1826	orthogroup_1828	8	454.0	450.0	4.0	0.008811	2
orthogroup_1830	orthogroup_1825	9	663.0	652.0	11.0	0.016591	1
orthogroup_188	orthogroup_735	8	219.0	221.0	2.0	0.009132	2
orthogroup_195	orthogroup_186	8	440.0	446.0	6.0	0.013636	1
orthogroup_2	orthogroup_1558	9	400.0	400.0	0.0	0.0	1
orthogroup_203	orthogroup_1333	10	549.0	549.0	0.0	0.0	1
orthogroup_204	orthogroup_1222	8	566.5	568.0	1.5	0.002648	1
orthogroup_210	orthogroup_1591	9	193.0	193.0	0.0	0.0	2
orthogroup_22	orthogroup_269	8	304.0	301.0	3.0	0.009868	1
orthogroup_23	orthogroup_1015	8	364.0	375.0	11.0	0.03022	2
orthogroup_231	orthogroup_1606	8	176.0	177.0	1.0	0.005682	1
orthogroup_233	orthogroup_1422	9	379.0	379.0	0.0	0.0	1
orthogroup_244	orthogroup_1088	9	382.0	382.0	0.0	0.0	1
orthogroup_25	orthogroup_219	9	184.0	184.0	0.0	0.0	1
orthogroup_272	orthogroup_197	9	178.0	177.0	1.0	0.005618	1
orthogroup_277	orthogroup_401	8	471.0	470.0	1.0	0.002123	1
orthogroup_279	orthogroup_1032	9	385.0	386.0	1.0	0.002597	1
orthogroup_283	orthogroup_708	8	474.0	484.0	10.0	0.021097	2
orthogroup_284	orthogroup_369	9	354.0	354.0	0.0	0.0	2
orthogroup_300	orthogroup_1108	8	331.0	328.0	3.0	0.009063	3
orthogroup_303	orthogroup_1255	9	450.0	449.0	1.0	0.002222	3
orthogroup_322	orthogroup_1065	8	275.0	283.0	8.0	0.029091	1
orthogroup_329	orthogroup_1588	9	717.0	719.0	2.0	0.002789	1
orthogroup_33	orthogroup_777	8	107.0	104.0	3.0	0.028037	5
orthogroup_331	orthogroup_409	8	195.0	196.0	1.0	0.005128	1
orthogroup_334	orthogroup_868	9	559.0	541.0	18.0	0.0322	2
orthogroup_335	orthogroup_1533	9	224.0	225.0	1.0	0.004464	2
orthogroup_338	orthogroup_282	10	271.0	270.0	1.0	0.00369	1
orthogroup_346	orthogroup_1277	9	196.0	196.0	0.0	0.0	1
orthogroup_352	orthogroup_459	10	147.0	148.0	1.0	0.006803	1
orthogroup_354	orthogroup_1367	9	412.0	411.0	1.0	0.002427	1
orthogroup_36	orthogroup_481	8	219.0	224.0	5.0	0.022831	3
orthogroup_371	orthogroup_1507	9	126.0	126.0	0.0	0.0	1
orthogroup_378	orthogroup_599	8	469.5	456.5	13.0	0.027689	3
orthogroup_385	orthogroup_1109	8	401.5	396.0	5.5	0.013699	2
orthogroup_390	orthogroup_328	9	396.0	396.0	0.0	0.0	1
orthogroup_408	orthogroup_798	9	428.0	447.0	19.0	0.044393	2
orthogroup_415	orthogroup_120	9	289.0	289.0	0.0	0.0	1
orthogroup_419	orthogroup_1288	8	206.0	211.0	5.0	0.024272	2
orthogroup_420	orthogroup_529	8	263.0	255.5	7.5	0.028517	1
orthogroup_429	orthogroup_395	8	394.0	386.0	8.0	0.020305	1
orthogroup_454	orthogroup_149	9	615.0	615.0	0.0	0.0	1
orthogroup_46	orthogroup_1161	10	258.5	258.0	0.5	0.001934	1
orthogroup_471	orthogroup_1469	9	221.0	222.0	1.0	0.004525	2
orthogroup_480	orthogroup_1369	9	360.0	361.0	1.0	0.002778	1
orthogroup_484	orthogroup_1045	9	253.0	253.0	0.0	0.0	1
orthogroup_489	orthogroup_1296	9	221.0	222.0	1.0	0.004525	1
orthogroup_49	orthogroup_1174	9	136.0	136.0	0.0	0.0	1
orthogroup_515	orthogroup_1646	9	122.0	122.0	0.0	0.0	1
orthogroup_526	orthogroup_1026	9	323.0	323.0	0.0	0.0	1
orthogroup_531	orthogroup_690	9	511.0	513.0	2.0	0.003914	2
orthogroup_534	orthogroup_559	10	246.0	246.0	0.0	0.0	1
orthogroup_540	orthogroup_505	9	285.0	284.0	1.0	0.003509	3
orthogroup_547	orthogroup_1054	10	302.0	302.0	0.0	0.0	1
orthogroup_548	orthogroup_319	9	254.0	254.0	0.0	0.0	1
orthogroup_551	orthogroup_1138	9	109.0	109.0	0.0	0.0	1
orthogroup_554	orthogroup_182	9	427.0	428.0	1.0	0.002342	3
orthogroup_596	orthogroup_1116	9	293.0	294.0	1.0	0.003413	2
orthogroup_598	orthogroup_1371	9	349.0	349.0	0.0	0.0	1
orthogroup_6	orthogroup_1602	9	109.0	109.0	0.0	0.0	2
orthogroup_609	orthogroup_1581	9	205.0	205.0	0.0	0.0	1
orthogroup_610	orthogroup_1475	9	220.0	220.0	0.0	0.0	1
orthogroup_618	orthogroup_1269	9	351.0	350.0	1.0	0.002849	2
orthogroup_626	orthogroup_918	9	306.0	312.0	6.0	0.019608	1
orthogroup_627	orthogroup_224	9	119.0	119.0	0.0	0.0	2
orthogroup_65	orthogroup_1258	9	1305.0	1295.0	10.0	0.007663	1
orthogroup_663	orthogroup_1447	9	429.0	428.0	1.0	0.002331	1
orthogroup_684	orthogroup_1385	9	489.0	491.0	2.0	0.00409	4
orthogroup_687	orthogroup_1547	9	269.0	269.0	0.0	0.0	1
orthogroup_7	orthogroup_1123	9	1049.0	1065.0	16.0	0.015253	2
orthogroup_703	orthogroup_1634	9	558.0	555.0	3.0	0.005376	1
orthogroup_719	orthogroup_299	9	397.0	398.0	1.0	0.002519	3
orthogroup_72	orthogroup_1611	8	266.0	265.0	1.0	0.003759	2
orthogroup_741	orthogroup_1378	9	447.0	449.0	2.0	0.004474	2
orthogroup_755	orthogroup_1119	9	512.0	513.0	1.0	0.001953	1
orthogroup_758	orthogroup_917	8	410.0	419.0	9.0	0.021951	1
orthogroup_759	orthogroup_652	9	299.0	299.0	0.0	0.0	2
orthogroup_76	orthogroup_993	8	341.0	344.0	3.0	0.008798	1
orthogroup_767	orthogroup_1425	10	462.0	460.0	2.0	0.004329	1
orthogroup_768	orthogroup_571	9	501.0	498.0	3.0	0.005988	3
orthogroup_772	orthogroup_982	9	208.0	208.0	0.0	0.0	1
orthogroup_784	orthogroup_818	9	483.0	481.0	2.0	0.004141	2
orthogroup_790	orthogroup_236	9	590.0	586.0	4.0	0.00678	2
orthogroup_799	orthogroup_26	10	509.0	505.0	4.0	0.007859	2
orthogroup_80	orthogroup_340	9	162.0	161.0	1.0	0.006173	3
orthogroup_81	orthogroup_625	10	277.0	276.5	0.5	0.001805	1
orthogroup_812	orthogroup_1022	9	188.0	188.0	0.0	0.0	1
orthogroup_824	orthogroup_1440	10	593.0	590.0	3.0	0.005059	1
orthogroup_864	orthogroup_337	9	127.0	127.0	0.0	0.0	1
orthogroup_867	orthogroup_1506	8	131.0	128.0	3.0	0.022901	1
orthogroup_870	orthogroup_1303	9	366.0	366.0	0.0	0.0	1
orthogroup_921	orthogroup_162	9	256.0	255.0	1.0	0.003906	1
orthogroup_923	orthogroup_514	10	428.0	429.0	1.0	0.002336	1
orthogroup_934	orthogroup_1563	8	395.0	387.0	8.0	0.020253	3
orthogroup_938	orthogroup_990	8	403.0	419.0	16.0	0.039702	7
orthogroup_946	orthogroup_1521	8	543.0	521.0	22.0	0.040516	2
orthogroup_96	orthogroup_142	9	367.0	366.0	1.0	0.002725	2
orthogroup_968	orthogroup_1103	8	648.0	616.0	32.0	0.049383	2
orthogroup_971	orthogroup_332	8	366.0	376.0	10.0	0.027322	2
orthogroup_972	orthogroup_1049	9	179.0	180.0	1.0	0.005587	1
orthogroup_980	orthogroup_556	8	245.0	234.5	10.5	0.042857	1
orthogroup_985	orthogroup_915	10	211.0	211.0	0.0	0.0	1
orthogroup_995	orthogroup_1381	9	291.0	292.0	1.0	0.003436	1
