orthogroup	species_count	member_count	species_set
orthogroup_11	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_12	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000270125.2
orthogroup_13	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_14	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000270125.2
orthogroup_15	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_16	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_17	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_18	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_19	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_20	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000270125.2
orthogroup_21	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_22	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_23	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_24	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1
orthogroup_25	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_26	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_27	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_28	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_29	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_30	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_31	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_32	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_33	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_34	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_35	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_36	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_37	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_38	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_39	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_40	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_41	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_42	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000762985.1
orthogroup_43	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_44	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_45	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_46	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_47	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_48	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1
orthogroup_49	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_50	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_51	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_52	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_53	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_54	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_55	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_56	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_57	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_58	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_59	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_60	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_61	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_62	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_63	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_64	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000270125.2
orthogroup_65	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_66	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_67	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_68	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_69	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_70	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_71	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_72	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_73	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000270125.2
orthogroup_74	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000270125.2
orthogroup_75	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_76	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_77	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_78	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_79	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_80	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_81	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_82	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_83	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1
orthogroup_84	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_85	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_86	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_87	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_88	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1
orthogroup_89	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_90	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_91	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_92	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_93	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_94	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_95	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_96	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_97	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_98	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_99	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_100	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_101	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_102	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_103	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_104	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_105	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000762985.1
orthogroup_106	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_107	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_108	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_109	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_110	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_111	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_112	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_113	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_114	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_115	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_116	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_117	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_118	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_119	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_120	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_121	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_122	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_123	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_124	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_125	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_126	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_127	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_128	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_129	10	10	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_130	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_131	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_132	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_133	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
orthogroup_134	8	8	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2
orthogroup_135	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000240185.1;GCF_000270125.2;GCF_000762985.1
orthogroup_136	9	9	GCF_000005845.2;GCF_000006925.2;GCF_000006945.1;GCF_000009065.1;GCF_000018045.1;GCF_000025565.1;GCF_000069965.1;GCF_000240185.1;GCF_000270125.2
