orthogroup	genome	protein_id	start_codon	end_codon	length_codons	mean_relative_weight
orthogroup_1107	GCF_000069965.1	WP_004247588.1	144	146	3	0.202111
orthogroup_1124	GCF_000006945.1	NP_460187.2	268	270	3	0.235385
orthogroup_1124	GCF_000025565.1	WP_013097098.1	390	392	3	0.229810
orthogroup_1124	GCF_000069965.1	WP_012367767.1	225	227	3	0.262601
orthogroup_1124	GCF_000240185.1	YP_005226297.1	29	31	3	0.194868
orthogroup_1141	GCF_000069965.1	WP_004244423.1	298	300	3	0.262132
orthogroup_1141	GCF_000069965.1	WP_004244423.1	358	360	3	0.183606
orthogroup_1141	GCF_000762985.1	WP_043408830.1	168	170	3	0.357470
orthogroup_1154	GCF_000005845.2	NP_416147.1	90	92	3	0.225113
orthogroup_1154	GCF_000006925.2	NP_707530.1	90	92	3	0.185310
orthogroup_1154	GCF_000069965.1	WP_004243022.1	46	48	3	0.231025
orthogroup_1154	GCF_000069965.1	WP_004243022.1	81	83	3	0.242057
orthogroup_1154	GCF_000240185.1	YP_005227246.1	206	208	3	0.169015
orthogroup_1158	GCF_000005845.2	NP_416693.1	146	148	3	0.240567
orthogroup_1158	GCF_000005845.2	NP_416693.1	572	574	3	0.256876
orthogroup_1158	GCF_000006925.2	NP_708087.1	146	148	3	0.233624
orthogroup_1158	GCF_000006925.2	NP_708087.1	572	574	3	0.242041
orthogroup_1158	GCF_000006945.1	NP_461172.1	100	102	3	0.226668
orthogroup_1158	GCF_000009065.1	WP_002208837.1	84	86	3	0.289547
orthogroup_1158	GCF_000270125.2	WP_014594137.1	570	572	3	0.174299
orthogroup_1177	GCF_000006945.1	NP_459738.1	84	86	3	0.129623
orthogroup_1177	GCF_000018045.1	WP_024130521.1	102	104	3	0.182182
orthogroup_1177	GCF_000025565.1	WP_013097525.1	199	201	3	0.140494
orthogroup_1177	GCF_000762985.1	WP_043404557.1	8	11	4	0.138985
orthogroup_1181	GCF_000006925.2	NP_706832.1	47	49	3	0.248943
orthogroup_1181	GCF_000006945.1	NP_459959.1	76	78	3	0.194625
orthogroup_1181	GCF_000069965.1	WP_004244589.1	4	6	3	0.234186
orthogroup_1181	GCF_000069965.1	WP_004244589.1	361	363	3	0.261103
orthogroup_119	GCF_000005845.2	NP_416334.1	38	41	4	0.250754
orthogroup_119	GCF_000006925.2	NP_707302.1	38	41	4	0.261481
orthogroup_119	GCF_000006925.2	NP_707302.1	146	148	3	0.248943
orthogroup_119	GCF_000009065.1	WP_002211066.1	14	16	3	0.229022
orthogroup_119	GCF_000009065.1	WP_002211066.1	33	35	3	0.308607
orthogroup_119	GCF_000025565.1	WP_013096131.1	37	40	4	0.195680
orthogroup_119	GCF_000240185.1	YP_005227650.1	73	75	3	0.119302
orthogroup_119	GCF_000240185.1	YP_005227650.1	150	152	3	0.151336
orthogroup_1208	GCF_000005845.2	NP_417857.1	45	47	3	0.266995
orthogroup_1208	GCF_000006945.1	NP_462398.1	700	702	3	0.200347
orthogroup_1208	GCF_000009065.1	WP_002208908.1	618	620	3	0.382224
orthogroup_1208	GCF_000018045.1	WP_012135507.1	8	11	4	0.212406
orthogroup_1208	GCF_000018045.1	WP_012135507.1	21	23	3	0.104940
orthogroup_1208	GCF_000240185.1	YP_005229220.1	8	10	3	0.155398
orthogroup_1208	GCF_000240185.1	YP_005229220.1	15	17	3	0.180076
orthogroup_1243	GCF_000006925.2	NP_709037.1	319	321	3	0.248943
orthogroup_1243	GCF_000006945.1	NP_462274.1	318	320	3	0.180840
orthogroup_1243	GCF_000006945.1	NP_462274.1	418	420	3	0.224040
orthogroup_1243	GCF_000009065.1	WP_002210095.1	506	508	3	0.313019
orthogroup_1243	GCF_000240185.1	YP_005229080.1	528	530	3	0.132930
orthogroup_1267	GCF_000006945.1	NP_459631.1	286	288	3	0.167802
orthogroup_1267	GCF_000006945.1	NP_459631.1	312	314	3	0.225622
orthogroup_1267	GCF_000018045.1	WP_012133352.1	276	278	3	0.165316
orthogroup_1267	GCF_000018045.1	WP_012133352.1	312	314	3	0.157194
orthogroup_1267	GCF_000270125.2	WP_024471157.1	308	310	3	0.245407
orthogroup_1270	GCF_000005845.2	NP_415307.1	226	228	3	0.250587
orthogroup_1270	GCF_000006925.2	NP_706664.2	226	228	3	0.258765
orthogroup_1270	GCF_000270125.2	WP_014593230.1	33	35	3	0.178508
orthogroup_1271	GCF_000005845.2	NP_416780.1	2	4	3	0.188430
orthogroup_1271	GCF_000005845.2	NP_416780.1	6	8	3	0.156392
orthogroup_1271	GCF_000006925.2	NP_708159.1	2	4	3	0.188551
orthogroup_1271	GCF_000006925.2	NP_708159.1	6	8	3	0.167275
orthogroup_1271	GCF_000006945.1	NP_461259.1	2	4	3	0.259243
orthogroup_1271	GCF_000006945.1	NP_461259.1	6	8	3	0.219626
orthogroup_1271	GCF_000018045.1	WP_012131500.1	2	4	3	0.156968
orthogroup_1271	GCF_000018045.1	WP_012131500.1	6	8	3	0.112760
orthogroup_1271	GCF_000018045.1	WP_012131500.1	505	508	4	0.179612
orthogroup_1271	GCF_000025565.1	WP_013098102.1	2	4	3	0.142186
orthogroup_1271	GCF_000025565.1	WP_013098102.1	6	8	3	0.094394
orthogroup_1271	GCF_000025565.1	WP_013098102.1	506	508	3	0.155112
orthogroup_1271	GCF_000069965.1	WP_004243685.1	135	137	3	0.242637
orthogroup_1271	GCF_000069965.1	WP_004243685.1	139	141	3	0.280795
orthogroup_1271	GCF_000240185.1	YP_005228034.1	6	8	3	0.078395
orthogroup_1271	GCF_000240185.1	YP_005228034.1	505	508	4	0.135800
orthogroup_1271	GCF_000270125.2	WP_013026504.1	503	505	3	0.182929
orthogroup_1271	GCF_000762985.1	WP_043406975.1	194	196	3	0.329614
orthogroup_1294	GCF_000009065.1	WP_002210888.1	99	101	3	0.252867
orthogroup_1294	GCF_000009065.1	WP_002210888.1	131	133	3	0.302455
orthogroup_1307	GCF_000762985.1	WP_043412913.1	244	246	3	0.264279
orthogroup_1307	GCF_000762985.1	WP_043412913.1	267	269	3	0.085112
orthogroup_1307	GCF_000762985.1	WP_043412913.1	386	388	3	0.295424
orthogroup_1309	GCF_000005845.2	NP_415012.1	164	166	3	0.250179
orthogroup_1309	GCF_000006925.2	NP_706372.1	164	166	3	0.264171
orthogroup_1309	GCF_000006945.1	NP_459488.1	232	235	4	0.191110
orthogroup_1309	GCF_000025565.1	WP_013095903.1	219	221	3	0.242480
orthogroup_1313	GCF_000069965.1	WP_004247606.1	36	38	3	0.266514
orthogroup_1328	GCF_000006945.1	NP_462754.1	87	89	3	0.241381
orthogroup_1328	GCF_000006945.1	NP_462754.1	227	229	3	0.231138
orthogroup_1328	GCF_000025565.1	WP_013099412.1	279	281	3	0.167407
orthogroup_1328	GCF_000240185.1	YP_005229598.1	6	8	3	0.150229
orthogroup_1328	GCF_000762985.1	WP_043412522.1	3	7	5	0.108565
orthogroup_1335	GCF_000005845.2	NP_418583.1	400	402	3	0.133820
orthogroup_1335	GCF_000005845.2	NP_418583.1	630	632	3	0.236505
orthogroup_1335	GCF_000006925.2	NP_710027.1	400	402	3	0.131152
orthogroup_1335	GCF_000006925.2	NP_710027.1	626	628	3	0.272255
orthogroup_1335	GCF_000006945.1	NP_463211.1	157	159	3	0.168146
orthogroup_1335	GCF_000009065.1	WP_002209140.1	84	86	3	0.378816
orthogroup_1335	GCF_000018045.1	WP_024130797.1	1091	1093	3	0.171499
orthogroup_1335	GCF_000069965.1	WP_004249643.1	383	385	3	0.206120
orthogroup_1335	GCF_000270125.2	WP_014594727.1	914	916	3	0.223911
orthogroup_136	GCF_000025565.1	WP_010436044.1	45	48	4	0.242549
orthogroup_136	GCF_000270125.2	WP_013024331.1	13	15	3	0.194548
orthogroup_1362	GCF_000005845.2	NP_416647.1	29	31	3	0.231643
orthogroup_1362	GCF_000005845.2	NP_416647.1	164	166	3	0.252115
orthogroup_1362	GCF_000025565.1	WP_013097948.1	66	68	3	0.180209
orthogroup_1362	GCF_000069965.1	WP_004247587.1	66	68	3	0.230706
orthogroup_1363	GCF_000006945.1	NP_461157.1	101	103	3	0.143478
orthogroup_1363	GCF_000009065.1	WP_002208820.1	34	36	3	0.343705
orthogroup_1363	GCF_000018045.1	WP_012131584.1	8	10	3	0.192061
orthogroup_1363	GCF_000018045.1	WP_012131584.1	208	210	3	0.215982
orthogroup_1363	GCF_000025565.1	WP_029883087.1	2	4	3	0.168394
orthogroup_1363	GCF_000025565.1	WP_029883087.1	218	220	3	0.175076
orthogroup_1363	GCF_000240185.1	YP_005227973.1	111	113	3	0.203612
orthogroup_1363	GCF_000270125.2	WP_014594127.1	74	76	3	0.210281
orthogroup_1365	GCF_000009065.1	WP_002210268.1	2	4	3	0.400357
orthogroup_1365	GCF_000018045.1	WP_012131501.1	2	5	4	0.194853
orthogroup_1365	GCF_000025565.1	WP_013098101.1	2	7	6	0.207771
orthogroup_1365	GCF_000240185.1	YP_005228033.1	2	7	6	0.147976
orthogroup_1365	GCF_000240185.1	YP_005228033.1	43	45	3	0.126343
orthogroup_1365	GCF_000270125.2	WP_013026503.1	2	4	3	0.202463
orthogroup_1365	GCF_000270125.2	WP_013026503.1	6	8	3	0.250450
orthogroup_1365	GCF_000762985.1	WP_043406972.1	28	30	3	0.421085
orthogroup_1365	GCF_000762985.1	WP_043406972.1	513	515	3	0.388954
orthogroup_1379	GCF_000006925.2	NP_709088.1	433	435	3	0.296565
orthogroup_1379	GCF_000025565.1	WP_003863305.1	225	227	3	0.213092
orthogroup_1379	GCF_000025565.1	WP_003863305.1	314	316	3	0.227876
orthogroup_1379	GCF_000025565.1	WP_003863305.1	353	355	3	0.248725
orthogroup_1379	GCF_000069965.1	WP_004246943.1	217	219	3	0.214713
orthogroup_1379	GCF_000069965.1	WP_004246943.1	346	349	4	0.224487
orthogroup_1379	GCF_000240185.1	YP_005229148.1	47	49	3	0.196347
orthogroup_1379	GCF_000240185.1	YP_005229148.1	224	227	4	0.184541
orthogroup_1379	GCF_000240185.1	YP_005229148.1	353	355	3	0.169924
orthogroup_1379	GCF_000240185.1	YP_005229148.1	431	433	3	0.174402
orthogroup_1380	GCF_000009065.1	WP_002215690.1	8	10	3	0.381578
orthogroup_1384	GCF_000025565.1	WP_013099411.1	31	33	3	0.064647
orthogroup_1384	GCF_000762985.1	WP_043412525.1	12	14	3	0.145479
orthogroup_1384	GCF_000762985.1	WP_043412525.1	22	24	3	0.133681
orthogroup_1384	GCF_000762985.1	WP_043412525.1	50	52	3	0.298508
orthogroup_1384	GCF_000762985.1	WP_043412525.1	356	358	3	0.086556
orthogroup_139	GCF_000018045.1	WP_012135517.1	17	19	3	0.195540
orthogroup_139	GCF_000025565.1	WP_013099092.1	107	109	3	0.176369
orthogroup_139	GCF_000270125.2	WP_014595136.1	3	6	4	0.171193
orthogroup_14	GCF_000005845.2	NP_415575.1	99	101	3	0.178371
orthogroup_14	GCF_000006945.1	NP_460129.1	95	97	3	0.203977
orthogroup_14	GCF_000025565.1	WP_044158657.1	11	13	3	0.156853
orthogroup_14	GCF_000270125.2	WP_014593409.1	2	4	3	0.104900
orthogroup_14	GCF_000270125.2	WP_014593409.1	95	97	3	0.190889
orthogroup_140	GCF_000762985.1	WP_043409822.1	306	308	3	0.264343
orthogroup_1400	GCF_000005845.2	NP_415024.4	66	68	3	0.269761
orthogroup_1400	GCF_000006925.2	NP_706384.1	265	267	3	0.296565
orthogroup_1400	GCF_000018045.1	WP_012133475.1	66	68	3	0.184653
orthogroup_1400	GCF_000240185.1	YP_005225517.1	103	105	3	0.145460
orthogroup_1406	GCF_000005845.2	NP_415406.1	4	6	3	0.187093
orthogroup_1406	GCF_000005845.2	NP_415406.1	36	38	3	0.252115
orthogroup_1406	GCF_000005845.2	NP_415406.1	434	436	3	0.225315
orthogroup_1406	GCF_000006925.2	NP_706771.1	4	6	3	0.185087
orthogroup_1406	GCF_000006925.2	NP_706771.1	103	106	4	0.231087
orthogroup_1406	GCF_000006945.1	NP_459932.1	103	106	4	0.185728
orthogroup_1406	GCF_000018045.1	WP_012133040.1	333	335	3	0.252165
orthogroup_1406	GCF_000025565.1	WP_013097323.1	36	38	3	0.196261
orthogroup_1406	GCF_000025565.1	WP_013097323.1	382	384	3	0.176369
orthogroup_1406	GCF_000240185.1	YP_005226096.1	3	5	3	0.136070
orthogroup_1406	GCF_000240185.1	YP_005226096.1	154	156	3	0.149438
orthogroup_1406	GCF_000270125.2	WP_014593309.1	371	373	3	0.165484
orthogroup_1408	GCF_000006945.1	NP_460037.1	119	121	3	0.186836
orthogroup_1408	GCF_000018045.1	WP_024130471.1	118	121	4	0.158182
orthogroup_1408	GCF_000018045.1	WP_024130471.1	280	282	3	0.181888
orthogroup_1408	GCF_000025565.1	WP_028027912.1	62	64	3	0.151565
orthogroup_1408	GCF_000025565.1	WP_028027912.1	204	206	3	0.216145
orthogroup_1408	GCF_000240185.1	YP_005226159.1	398	400	3	0.160887
orthogroup_1408	GCF_000270125.2	WP_014593348.1	182	184	3	0.217676
orthogroup_141	GCF_000006945.1	NP_462509.1	196	198	3	0.247377
orthogroup_141	GCF_000025565.1	WP_013099206.1	11	14	4	0.190385
orthogroup_141	GCF_000069965.1	WP_004246850.1	305	307	3	0.278444
orthogroup_141	GCF_000270125.2	WP_014594860.1	188	190	3	0.212115
orthogroup_141	GCF_000270125.2	WP_014594860.1	298	300	3	0.192138
orthogroup_1410	GCF_000005845.2	NP_415636.1	16	18	3	0.247862
orthogroup_1410	GCF_000006925.2	NP_707033.1	16	18	3	0.258219
orthogroup_1410	GCF_000006945.1	NP_460189.1	388	390	3	0.235489
orthogroup_1410	GCF_000025565.1	WP_013097096.1	409	411	3	0.153837
orthogroup_1412	GCF_000009065.1	WP_002210971.1	237	239	3	0.303449
orthogroup_1412	GCF_000025565.1	WP_013096395.1	62	65	4	0.186084
orthogroup_1412	GCF_000270125.2	WP_013025909.1	78	80	3	0.216791
orthogroup_1435	GCF_000006925.2	NP_709720.2	22	24	3	0.184865
orthogroup_1435	GCF_000006945.1	NP_462942.1	23	25	3	0.232664
orthogroup_1435	GCF_000018045.1	WP_012133884.1	23	25	3	0.167407
orthogroup_1435	GCF_000240185.1	YP_005224374.1	23	25	3	0.101473
orthogroup_1435	GCF_000240185.1	YP_005224374.1	204	206	3	0.155094
orthogroup_1435	GCF_000270125.2	WP_014604761.1	216	218	3	0.240480
orthogroup_1443	GCF_000009065.1	WP_002353933.1	214	216	3	0.430562
orthogroup_1443	GCF_000018045.1	WP_012131644.1	36	38	3	0.166644
orthogroup_1443	GCF_000025565.1	WP_013097933.1	236	238	3	0.219124
orthogroup_1443	GCF_000240185.1	YP_005227928.1	49	51	3	0.200439
orthogroup_1444	GCF_000240185.1	YP_005226774.1	6	10	5	0.143759
orthogroup_1444	GCF_000270125.2	WP_014593863.1	5	7	3	0.194243
orthogroup_1445	GCF_000025565.1	WP_013099104.1	228	230	3	0.153468
orthogroup_1445	GCF_000069965.1	WP_004246754.1	235	237	3	0.265649
orthogroup_1445	GCF_000240185.1	YP_005229242.1	229	231	3	0.139500
orthogroup_145	GCF_000005845.2	NP_418322.1	114	116	3	0.256876
orthogroup_145	GCF_000006925.2	NP_709686.1	114	116	3	0.242041
orthogroup_145	GCF_000006925.2	NP_709686.1	164	166	3	0.228589
orthogroup_145	GCF_000025565.1	WP_013099364.1	147	149	3	0.171903
orthogroup_1453	GCF_000006945.1	NP_459473.1	513	515	3	0.206802
orthogroup_1453	GCF_000006945.1	NP_459473.1	671	673	3	0.219270
orthogroup_1453	GCF_000009065.1	WP_002208612.1	19	21	3	0.331876
orthogroup_1453	GCF_000009065.1	WP_002208612.1	642	644	3	0.293212
orthogroup_1453	GCF_000025565.1	WP_013095893.1	537	539	3	0.158006
orthogroup_1453	GCF_000069965.1	WP_012367484.1	350	352	3	0.202782
orthogroup_1453	GCF_000240185.1	YP_005225491.1	203	205	3	0.172617
orthogroup_1453	GCF_000240185.1	YP_005225491.1	839	841	3	0.133712
orthogroup_1457	GCF_000069965.1	WP_004244117.1	317	319	3	0.202782
orthogroup_1457	GCF_000240185.1	YP_005225109.1	4	6	3	0.195131
orthogroup_1457	GCF_000240185.1	YP_005225109.1	403	406	4	0.095549
orthogroup_1457	GCF_000762985.1	WP_052429123.1	475	478	4	0.157046
orthogroup_1462	GCF_000005845.2	NP_417663.1	12	14	3	0.240567
orthogroup_1462	GCF_000005845.2	NP_417663.1	105	107	3	0.250626
orthogroup_1462	GCF_000005845.2	NP_417663.1	171	173	3	0.250179
orthogroup_1462	GCF_000006925.2	NP_708995.1	12	14	3	0.233624
orthogroup_1462	GCF_000006925.2	NP_708995.1	105	107	3	0.245727
orthogroup_1462	GCF_000006925.2	NP_708995.1	167	169	3	0.264171
orthogroup_1462	GCF_000006945.1	NP_462224.1	7	9	3	0.156457
orthogroup_1462	GCF_000006945.1	NP_462224.1	321	323	3	0.225487
orthogroup_1462	GCF_000009065.1	WP_002210120.1	5	7	3	0.308325
orthogroup_1462	GCF_000009065.1	WP_002210120.1	49	51	3	0.388094
orthogroup_1462	GCF_000018045.1	WP_012135329.1	2	4	3	0.192091
orthogroup_1462	GCF_000025565.1	WP_013098936.1	12	14	3	0.138346
orthogroup_1462	GCF_000025565.1	WP_013098936.1	292	295	4	0.220624
orthogroup_1462	GCF_000069965.1	WP_012368835.1	20	22	3	0.226598
orthogroup_1462	GCF_000069965.1	WP_012368835.1	81	83	3	0.225275
orthogroup_1462	GCF_000240185.1	YP_005229045.1	74	76	3	0.196133
orthogroup_1462	GCF_000240185.1	YP_005229045.1	90	93	4	0.126403
orthogroup_1462	GCF_000270125.2	WP_013024329.1	305	307	3	0.181080
orthogroup_147	GCF_000025565.1	WP_013095044.1	189	191	3	0.218914
orthogroup_147	GCF_000240185.1	YP_005224557.1	14	16	3	0.170122
orthogroup_147	GCF_000240185.1	YP_005224557.1	445	447	3	0.128413
orthogroup_1481	GCF_000006945.1	NP_461261.1	3	5	3	0.258887
orthogroup_1481	GCF_000025565.1	WP_003861496.1	3	5	3	0.195170
orthogroup_1481	GCF_000240185.1	YP_005228036.1	94	96	3	0.213345
orthogroup_1515	GCF_000025565.1	WP_013097368.1	2	4	3	0.147182
orthogroup_1515	GCF_000240185.1	YP_005226066.1	6	8	3	0.113144
orthogroup_1519	GCF_000009065.1	WP_002211481.1	239	241	3	0.403302
orthogroup_1519	GCF_000018045.1	WP_012131161.1	11	14	4	0.189704
orthogroup_1524	GCF_000009065.1	WP_002210722.1	76	79	4	0.311449
orthogroup_1524	GCF_000025565.1	WP_044159455.1	26	28	3	0.243756
orthogroup_1524	GCF_000240185.1	YP_005225864.1	82	87	6	0.166996
orthogroup_1538	GCF_000006945.1	NP_460423.1	31	33	3	0.230140
orthogroup_1538	GCF_000018045.1	WP_012132511.1	31	33	3	0.174538
orthogroup_1538	GCF_000069965.1	WP_012367953.1	30	32	3	0.238271
orthogroup_1538	GCF_000240185.1	YP_005227241.1	3	6	4	0.210192
orthogroup_1554	GCF_000005845.2	NP_416481.1	19	21	3	0.257766
orthogroup_1554	GCF_000005845.2	NP_416481.1	72	74	3	0.217252
orthogroup_1554	GCF_000005845.2	NP_416481.1	80	82	3	0.260440
orthogroup_1554	GCF_000006925.2	NP_707856.1	19	21	3	0.263948
orthogroup_1554	GCF_000006925.2	NP_707856.1	72	74	3	0.220988
orthogroup_1554	GCF_000006925.2	NP_707856.1	192	195	4	0.275755
orthogroup_1554	GCF_000006945.1	NP_462288.1	71	74	4	0.223326
orthogroup_1554	GCF_000006945.1	NP_462288.1	80	82	3	0.247377
orthogroup_1554	GCF_000018045.1	WP_012135388.1	19	21	3	0.175431
orthogroup_1554	GCF_000018045.1	WP_012135388.1	71	73	3	0.184181
orthogroup_1554	GCF_000025565.1	WP_013098990.1	71	74	4	0.160353
orthogroup_1554	GCF_000025565.1	WP_013098990.1	78	80	3	0.186380
orthogroup_1554	GCF_000240185.1	YP_005229094.1	71	73	3	0.109597
orthogroup_1554	GCF_000240185.1	YP_005229094.1	148	150	3	0.132467
orthogroup_1554	GCF_000240185.1	YP_005229094.1	186	188	3	0.080567
orthogroup_1557	GCF_000005845.2	NP_417082.1	126	129	4	0.232871
orthogroup_1557	GCF_000006925.2	NP_708438.2	126	129	4	0.227204
orthogroup_1557	GCF_000018045.1	WP_024130104.1	308	310	3	0.193194
orthogroup_1557	GCF_000025565.1	WP_013098335.1	17	20	4	0.140677
orthogroup_1557	GCF_000025565.1	WP_013098335.1	125	127	3	0.138346
orthogroup_1557	GCF_000025565.1	WP_013098335.1	357	359	3	0.184761
orthogroup_1557	GCF_000025565.1	WP_013098335.1	371	373	3	0.197218
orthogroup_1557	GCF_000240185.1	YP_005228282.1	176	178	3	0.187203
orthogroup_1557	GCF_000270125.2	WP_026021051.1	170	172	3	0.248981
orthogroup_1557	GCF_000762985.1	WP_043405316.1	23	25	3	0.198812
orthogroup_1557	GCF_000762985.1	WP_043405316.1	42	44	3	0.113494
orthogroup_156	GCF_000005845.2	NP_414717.2	12	14	3	0.209665
orthogroup_156	GCF_000005845.2	NP_414717.2	64	66	3	0.256876
orthogroup_156	GCF_000005845.2	NP_414717.2	277	279	3	0.256876
orthogroup_156	GCF_000006925.2	NP_706120.4	28	30	3	0.242041
orthogroup_156	GCF_000006925.2	NP_706120.4	241	243	3	0.242041
orthogroup_156	GCF_000006945.1	NP_459227.1	12	14	3	0.237383
orthogroup_156	GCF_000009065.1	WP_002212137.1	6	8	3	0.333962
orthogroup_156	GCF_000018045.1	WP_012133982.1	12	14	3	0.184831
orthogroup_156	GCF_000018045.1	WP_012133982.1	283	285	3	0.150631
orthogroup_156	GCF_000025565.1	WP_013095657.1	11	14	4	0.195457
orthogroup_156	GCF_000240185.1	YP_005225222.1	7	9	3	0.191558
orthogroup_1575	GCF_000005845.2	NP_415285.1	65	67	3	0.259550
orthogroup_1575	GCF_000006925.2	NP_706477.1	65	67	3	0.248968
orthogroup_1575	GCF_000762985.1	WP_043408202.1	4	6	3	0.133579
orthogroup_1575	GCF_000762985.1	WP_043408202.1	38	40	3	0.208057
orthogroup_1575	GCF_000762985.1	WP_043408202.1	127	129	3	0.297102
orthogroup_1577	GCF_000006945.1	NP_459864.1	81	83	3	0.173965
orthogroup_1577	GCF_000006945.1	NP_459864.1	139	141	3	0.247251
orthogroup_158	GCF_000240185.1	YP_005225380.1	254	256	3	0.210110
orthogroup_159	GCF_000005845.2	NP_414967.1	228	230	3	0.222922
orthogroup_159	GCF_000006925.2	NP_706326.1	228	230	3	0.221743
orthogroup_159	GCF_000009065.1	WP_002223277.1	136	138	3	0.416751
orthogroup_159	GCF_000009065.1	WP_002223277.1	486	488	3	0.271769
